Timestamp(s),trunk_Accel_X,trunk_Accel_Y,trunk_Accel_Z,trunk_Gyro_X,trunk_Gyro_Y,trunk_Gyro_Z,trunk_MAG_X,trunk_MAG_Y,trunk_MAG_Z,foot_Accel_X,foot_Accel_Y,foot_Accel_Z,foot_Gyro_X,foot_Gyro_Y,foot_Gyro_Z,foot_MAG_X,foot_MAG_Y,foot_MAG_Z,shank_Accel_X,shank_Accel_Y,shank_Accel_Z,shank_Gyro_X,shank_Gyro_Y,shank_Gyro_Z,shank_MAG_X,shank_MAG_Y,shank_MAG_Z,thigh_Accel_X,thigh_Accel_Y,thigh_Accel_Z,thigh_Gyro_X,thigh_Gyro_Y,thigh_Gyro_Z,thigh_MAG_X,thigh_MAG_Y,thigh_MAG_Z,
172.32,-9.63,-0.80,-0.90,-2.25,-2.37,0.13,31.87,16.50,17.75,-5.37,0.18,8.21,-0.19,-0.56,0.19,6.56,94.69,-51.69,-9.57,-0.69,-0.88,-4.19,-2.31,-0.44,31.87,16.50,17.75,-9.75,0.15,0.08,1.87,-1.00,-0.19,35.00,34.50,14.25,
172.35,-9.44,-0.70,-0.91,-1.44,-2.37,-0.75,31.87,16.50,17.75,-5.33,0.18,8.20,-0.75,-1.44,0.31,6.56,95.37,-51.88,-9.53,-0.74,-0.89,-1.44,-2.37,-0.75,32.25,16.87,17.37,-9.78,0.14,0.14,0.44,-0.44,0.06,35.75,34.19,12.75,
172.38,-9.85,-0.87,-0.92,1.25,-0.06,-0.37,32.25,16.87,17.37,-5.33,0.22,8.17,-0.19,-0.44,0.13,6.56,95.37,-51.88,-9.85,-0.89,-0.88,0.37,-2.56,0.81,32.25,16.87,17.37,-9.71,0.17,0.09,0.25,-0.25,0.25,35.75,34.19,12.75,
172.41,-9.74,-0.85,-0.89,1.31,-2.87,1.19,32.69,16.87,17.00,-5.33,0.20,8.18,1.69,1.31,0.06,6.56,95.06,-52.69,-9.73,-0.75,-0.84,0.88,-2.44,0.81,32.69,16.87,17.00,-9.79,0.17,0.22,-0.62,1.50,0.25,35.00,33.75,13.88,
172.45,-9.50,-0.46,-0.66,-2.69,-3.81,-0.56,32.69,16.87,17.00,-5.34,0.23,8.24,0.00,0.44,0.00,6.25,94.75,-52.06,-9.45,-0.46,-0.69,-5.75,-4.37,-0.62,32.69,16.87,17.00,-9.78,0.04,0.23,-2.44,0.25,-0.13,36.50,35.25,14.00,
172.48,-9.46,-0.63,-0.71,-2.69,-3.00,0.25,32.25,15.00,17.37,-5.37,0.22,8.17,0.25,1.31,-0.25,6.25,94.75,-52.06,-9.86,-1.14,-0.81,3.50,-1.62,-0.06,32.25,15.00,17.37,-9.75,0.03,0.15,-0.50,-0.13,1.12,36.50,35.25,14.00,
172.51,-9.92,-1.17,-0.86,3.06,-3.12,-1.00,32.25,15.00,17.37,-5.36,0.22,8.17,2.12,1.56,0.19,8.06,95.37,-52.88,-9.88,-1.15,-0.89,2.06,-5.37,-1.31,33.06,15.38,16.19,-9.72,-0.01,0.05,-0.19,-0.13,0.50,35.25,34.88,13.56,
172.54,-9.59,-0.81,-0.62,-1.94,-6.44,-0.81,33.06,15.38,16.19,-5.37,0.22,8.21,2.31,1.75,0.19,8.06,95.37,-52.88,-9.25,-0.40,-0.32,-5.44,-4.06,1.19,33.06,15.38,16.19,-9.77,0.02,0.16,0.19,0.62,0.00,35.25,34.88,13.56,
172.57,-9.36,-0.36,-0.32,-7.37,-2.12,0.31,33.06,16.06,17.75,-5.37,0.31,8.16,-0.56,0.88,0.00,7.25,93.87,-51.00,-9.43,-0.41,-0.43,-8.25,-1.00,-1.31,33.06,16.06,17.75,-9.82,0.31,0.13,0.62,1.31,-0.19,35.25,35.25,14.25,
172.60,-9.70,-0.90,-0.83,-3.06,0.81,-3.19,33.06,16.06,17.75,-5.39,0.26,8.16,-0.13,0.50,-0.06,8.75,95.37,-52.19,-9.78,-1.12,-0.92,-2.06,1.31,-3.25,32.25,16.06,16.56,-9.82,0.28,0.20,-2.25,0.88,0.44,36.06,34.50,14.25,
172.63,-9.84,-1.04,-0.81,-3.75,-4.44,-0.75,32.25,16.06,16.56,-5.39,0.21,8.19,0.94,0.62,0.00,8.75,95.37,-52.19,-9.62,-0.82,-0.73,-5.56,-4.69,-0.31,32.25,16.06,16.56,-9.77,-0.02,0.11,-2.94,-0.50,0.13,36.06,34.50,14.25,
172.66,-9.65,-0.73,-0.73,-6.06,-4.25,-0.81,32.25,16.06,16.56,-5.39,0.27,8.19,1.62,1.00,-0.06,7.25,95.06,-53.00,-9.72,-0.72,-0.73,-6.44,-3.62,-1.50,32.69,16.06,16.56,-9.84,0.04,-0.02,-3.12,-0.25,-0.19,35.00,34.19,13.56,
172.69,-9.74,-0.80,-0.78,-4.19,-4.31,-2.50,32.69,16.06,16.56,-5.42,0.29,8.15,2.75,1.25,-0.19,7.25,95.06,-53.00,-9.77,-0.97,-0.59,-2.31,-6.00,-2.37,32.69,16.06,16.56,-9.81,0.22,0.10,4.44,2.25,-0.13,35.00,34.19,13.56,
172.72,-9.70,-0.99,-0.48,-1.00,-6.87,-1.69,32.69,15.38,17.75,-5.42,0.30,8.15,3.56,1.87,-0.06,7.69,94.25,-52.38,-9.59,-1.02,-0.46,-3.12,-6.25,-0.31,32.69,15.38,17.75,-9.84,0.13,0.14,4.81,1.75,0.19,35.00,33.75,14.75,
172.75,-9.56,-0.86,-0.44,-5.25,-5.44,-0.81,32.69,15.38,17.75,-5.36,0.34,8.18,3.06,1.56,0.00,9.50,93.56,-53.69,-9.64,-0.73,-0.38,-7.19,-5.12,-2.44,32.69,16.06,17.25,-9.77,0.27,0.21,3.50,3.56,-0.13,35.00,35.25,14.75,
