Timestamp(s),foot_Accel_X,foot_Accel_Y,foot_Accel_Z,foot_Gyro_X,foot_Gyro_Y,foot_Gyro_Z,shank_Accel_X,shank_Accel_Y,shank_Accel_Z,shank_Gyro_X,shank_Gyro_Y,shank_Gyro_Z,Label
67.89,-8.5,0.97,7.02,-32.94,-285.06,164.75,-5.44,-1.15,-4.16,-162.31,-242.5,9.5,rampdescent
67.91,-8.22,-0.09,5.72,-15.38,-304.44,172.0,-6.58,-2.13,-3.78,-128.06,-266.94,0.19,rampdescent
67.92,-8.36,-0.2,5.18,15.88,-313.31,180.75,-6.89,-1.8,-3.81,-103.44,-279.0,-3.37,rampdescent
67.94,-8.37,-0.74,4.93,24.94,-306.31,179.0,-7.45,-1.45,-3.73,-60.5,-297.94,-7.94,rampdescent
67.95,-8.87,-0.67,5.53,32.69,-282.06,156.19,-9.73,0.19,-4.11,-42.5,-306.56,-8.88,rampdescent
67.97,-11.07,-0.03,7.56,33.69,-271.12,135.62,-10.92,1.35,-4.83,-13.88,-320.56,-7.62,rampdescent
67.99,-13.87,0.59,9.05,39.5,-258.69,95.19,-11.66,1.78,-5.66,-16.37,-329.25,2.81,rampdescent
68.0,-14.55,1.22,9.45,51.81,-258.31,74.62,-12.96,0.68,-5.46,-21.37,-329.87,8.69,rampdescent
68.02,-15.45,0.36,9.21,60.75,-252.44,70.69,-13.19,-0.14,-5.15,-1.06,-325.31,15.0,rampdescent
68.03,-15.59,-0.99,8.72,99.31,-228.37,76.0,-13.62,-1.76,-4.24,22.69,-317.56,18.0,rampdescent
68.04,-16.29,-1.15,9.72,121.87,-213.25,77.81,-13.99,-1.71,-4.21,48.31,-310.62,22.75,rampdescent
68.06,-17.61,-1.02,10.14,144.87,-203.0,71.19,-13.62,-0.81,-5.37,89.31,-292.5,34.69,rampdescent
68.08,-18.26,-4.17,9.03,149.44,-219.31,57.88,-12.78,-0.02,-5.49,97.12,-262.44,41.69,rampdescent
68.1,-18.68,-4.59,5.47,146.19,-226.19,47.94,-11.56,-0.57,-5.78,98.44,-239.87,38.44,rampdescent
68.11,-18.8,-6.03,4.0,122.25,-218.87,17.37,-8.87,-1.54,-7.4,73.37,-183.87,39.44,rampdescent
68.13,-23.46,-11.65,-4.96,112.94,-210.5,7.12,-6.73,-2.96,-7.26,97.0,-67.0,15.44,rampdescent
68.14,-13.86,-8.87,-9.27,83.62,-137.19,-17.25,-7.35,0.6,-6.04,79.0,-3.62,11.44,rampdescent
68.16,-7.61,0.78,-17.14,-14.13,-5.06,-56.19,-8.95,-1.59,-5.94,-23.19,62.88,14.38,rampdescent
