Timestamp(s),foot_Accel_X,foot_Accel_Y,foot_Accel_Z,foot_Gyro_X,foot_Gyro_Y,foot_Gyro_Z,shank_Accel_X,shank_Accel_Y,shank_Accel_Z,shank_Gyro_X,shank_Gyro_Y,shank_Gyro_Z,Label
46.93,1.67,-11.72,14.66,-68.87,-48.38,-22.5,-11.43,-25.22,19.74,-149.69,124.12,31.5,stairascent
46.94,4.39,3.51,8.47,10.13,48.81,-10.56,1.31,6.74,-0.26,221.25,108.37,-99.06,stairascent
46.96,-17.75,7.78,10.35,16.94,67.81,-26.25,-1.09,12.83,-8.51,248.5,70.75,-69.5,stairascent
46.98,-12.0,-0.33,6.84,-16.5,15.44,-16.37,-11.0,1.45,-6.07,-27.12,56.88,8.0,stairascent
46.99,-5.05,-1.01,8.55,-32.75,-22.0,-1.0,-8.7,-5.13,-2.58,-127.81,45.38,11.13,stairascent
47.01,-5.2,-0.28,9.1,-18.31,-21.5,2.37,-12.83,-2.17,-1.0,-32.75,34.06,-9.56,stairascent
47.02,-4.59,1.56,8.38,-3.81,-18.31,3.25,-13.4,-0.29,-0.96,17.06,34.75,-16.31,stairascent
47.04,-4.94,1.01,8.17,-6.25,-13.31,1.94,-9.91,0.31,-2.86,16.69,11.25,-12.06,stairascent
47.06,-5.0,0.0,8.36,-9.38,-11.25,4.69,-10.0,-0.69,-2.52,-22.19,7.0,-1.87,stairascent
47.07,-5.08,-0.19,8.59,-7.5,-12.44,6.25,-9.79,-1.45,-1.75,-24.87,4.56,0.31,stairascent
47.08,-4.75,0.51,8.61,-2.37,-13.81,8.06,-10.41,-0.86,-1.61,-17.0,1.25,2.31,stairascent
47.1,-4.47,0.54,8.98,-1.06,-11.69,7.69,-11.48,-0.6,-1.37,-4.87,-5.0,7.31,stairascent
47.11,-4.45,0.81,8.98,2.44,-2.5,6.69,-11.17,-0.01,-1.78,-3.87,-7.69,7.94,stairascent
47.13,-4.67,0.46,8.94,2.94,1.06,5.87,-10.79,0.03,-2.21,-5.31,-18.87,10.25,stairascent
47.15,-4.69,1.16,8.54,4.69,5.94,5.19,-10.48,0.69,-1.49,-0.19,-26.19,7.31,stairascent
47.16,-4.72,1.16,8.67,4.44,7.87,4.12,-10.43,0.64,-1.61,0.0,-29.94,6.75,stairascent
47.18,-5.05,0.62,8.6,3.87,8.13,1.94,-9.91,-0.13,-1.21,-7.69,-35.69,4.5,stairascent
47.19,-5.01,0.92,8.52,5.25,4.81,2.44,-9.69,0.12,-0.65,-1.5,-36.88,1.56,stairascent
47.21,-4.99,1.13,8.39,5.06,3.56,1.69,-9.65,1.04,-0.79,8.94,-38.13,-2.06,stairascent
