Timestamp(s),foot_Accel_X,foot_Accel_Y,foot_Accel_Z,foot_Gyro_X,foot_Gyro_Y,foot_Gyro_Z,shank_Accel_X,shank_Accel_Y,shank_Accel_Z,shank_Gyro_X,shank_Gyro_Y,shank_Gyro_Z,Label
288.71,-5.14,0.91,8.55,-4.69,8.06,-2.19,-10.02,1.13,-0.4,15.0,40.63,-8.88,stairdescent
288.73,-4.78,1.03,8.52,-3.87,7.19,-2.69,-10.12,1.01,-0.01,12.06,35.94,-8.06,stairdescent
288.74,-4.86,0.99,8.4,-1.56,9.38,-4.06,-9.98,0.8,-0.09,10.56,35.56,-7.5,stairdescent
288.76,-4.95,1.0,8.37,-1.06,10.5,-4.12,-9.67,0.68,-0.25,16.37,31.94,-8.19,stairdescent
288.77,-5.1,0.94,8.33,-0.56,10.38,-4.31,-9.69,0.81,-0.17,19.69,31.25,-9.25,stairdescent
288.79,-5.09,0.85,8.28,-0.19,10.56,-4.19,-9.56,0.81,-0.01,20.19,32.88,-9.56,stairdescent
288.81,-4.99,0.86,8.27,0.13,8.69,-4.06,-9.51,0.95,0.25,15.63,36.81,-9.5,stairdescent
288.83,-4.92,1.05,8.3,0.0,9.31,-4.5,-9.55,1.18,0.4,14.81,42.0,-10.88,stairdescent
288.84,-5.11,1.32,8.18,-0.13,10.63,-6.75,-9.39,1.21,0.06,13.81,44.0,-11.38,stairdescent
288.86,-5.06,1.18,8.16,-1.62,10.94,-7.44,-9.43,1.05,0.12,12.5,46.75,-12.13,stairdescent
288.87,-5.18,1.24,8.31,-2.19,13.13,-9.31,-9.57,1.0,0.09,12.88,52.06,-13.69,stairdescent
288.89,-5.37,0.91,8.22,-3.25,13.06,-9.38,-9.38,0.79,-0.48,10.63,58.94,-15.5,stairdescent
288.91,-5.24,0.93,8.28,-4.12,12.25,-8.88,-9.39,0.81,-0.46,9.38,62.13,-16.5,stairdescent
288.92,-5.21,0.96,8.29,-5.19,11.31,-8.38,-9.73,0.33,-0.78,5.87,65.94,-15.56,stairdescent
288.93,-5.2,0.78,8.31,-5.44,11.31,-8.13,-9.55,0.23,-0.82,9.31,67.25,-16.25,stairdescent
288.95,-5.28,0.75,8.43,-5.25,14.56,-8.69,-9.87,0.38,-1.45,14.25,71.62,-18.62,stairdescent
288.96,-4.95,1.09,8.4,-5.44,15.13,-8.75,-10.07,0.3,-1.59,12.38,73.44,-18.25,stairdescent
288.98,-5.16,0.75,8.39,-6.25,18.06,-9.0,-10.1,0.03,-1.69,14.25,73.94,-17.87,stairdescent
289.0,-5.19,0.81,8.47,-8.19,22.37,-9.38,-10.01,0.11,-1.84,21.56,73.56,-19.0,stairdescent
289.01,-5.26,0.37,8.43,-4.81,21.87,-8.5,-10.1,0.18,-2.4,22.12,73.0,-19.31,stairdescent
289.03,-5.15,0.5,8.54,-1.94,28.31,-11.69,-10.07,-0.21,-2.29,21.75,74.0,-20.87,stairdescent
289.04,-5.36,0.56,8.53,0.75,32.06,-13.31,-10.19,0.09,-2.19,22.19,75.81,-21.5,stairdescent
289.06,-5.45,0.74,8.49,3.37,39.38,-16.62,-10.14,0.27,-2.44,22.25,77.0,-22.31,stairdescent
289.08,-5.47,1.28,8.59,1.44,42.75,-18.75,-10.48,0.29,-2.2,24.81,80.69,-24.25,stairdescent
289.09,-5.44,1.08,8.62,-10.88,55.69,-22.56,-10.92,0.03,-2.05,28.87,85.0,-26.94,stairdescent
289.11,-5.38,1.24,8.8,-15.69,72.56,-32.31,-11.15,0.04,-2.04,31.06,87.56,-27.06,stairdescent
289.12,-5.46,1.45,8.8,-17.75,82.62,-39.13,-11.58,0.14,-1.89,39.81,94.75,-27.31,stairdescent
289.13,-5.35,1.54,8.87,-21.94,94.19,-46.63,-11.83,0.59,-1.45,45.69,98.69,-28.19,stairdescent
289.15,-5.46,2.29,9.11,-40.75,121.87,-66.0,-12.38,0.66,-1.11,53.88,108.06,-30.19,stairdescent
289.17,-5.18,2.14,9.14,-55.0,159.44,-91.94,-13.53,0.57,0.06,57.56,115.0,-31.12,stairdescent
289.18,-5.01,2.88,10.25,-60.13,184.06,-110.87,-15.43,1.22,1.76,71.62,139.5,-37.13,stairdescent
289.19,-4.75,3.41,10.68,-66.62,212.75,-136.56,-16.68,1.63,2.92,78.75,154.87,-39.25,stairdescent
289.21,-4.99,3.79,12.23,-88.69,284.19,-192.94,-19.4,0.72,5.06,87.81,180.5,-39.19,stairdescent
289.23,-8.21,-0.42,13.18,-85.56,326.87,-210.37,-19.66,0.38,4.7,83.25,192.06,-41.31,stairdescent
289.24,-10.31,-2.79,16.59,-27.06,412.56,-203.81,-19.61,0.28,3.48,94.56,206.12,-55.5,stairdescent
289.26,-17.23,9.2,16.65,9.06,438.75,-218.81,-18.32,2.56,-0.15,130.31,202.62,-74.69,stairdescent
289.27,-12.68,7.27,16.53,-20.69,440.75,-249.62,-12.23,6.78,-7.18,174.5,159.87,-86.06,stairdescent
289.29,-13.54,14.49,6.13,-72.75,354.25,-253.81,-8.79,5.7,-7.38,95.19,100.87,-43.31,stairdescent
289.31,2.81,5.08,14.73,-143.44,204.87,-222.69,-5.4,-0.03,-14.87,-3.25,72.19,-25.81,stairdescent
289.32,-18.57,14.19,18.46,3.37,-122.94,76.12,-7.5,-1.87,-7.64,-156.31,21.25,-10.0,stairdescent
289.33,2.72,10.41,2.97,-8.81,-184.19,146.94,-8.33,-1.43,3.13,-129.5,0.94,-5.37,stairdescent
289.35,0.75,1.76,3.06,-45.69,-155.81,198.62,-3.08,1.57,-1.5,-51.69,-67.81,18.0,stairdescent
289.37,-2.37,-0.79,5.69,4.56,-148.44,206.06,-2.97,1.77,-2.34,-88.87,-97.19,26.94,stairdescent
289.38,-3.48,-0.08,6.29,18.87,-169.56,196.81,-5.06,-0.21,-2.19,-143.0,-136.87,49.5,stairdescent
289.4,-3.67,0.22,6.21,17.12,-196.81,176.0,-4.76,-1.41,-2.14,-147.37,-161.44,59.31,stairdescent
289.41,-3.13,-4.26,5.59,17.31,-240.25,121.75,-4.98,-4.33,-2.22,-115.31,-206.0,65.12,stairdescent
289.43,-3.99,-4.37,5.05,75.62,-257.37,83.12,-4.92,-5.04,-2.46,-87.06,-225.56,65.25,stairdescent
289.45,-4.7,-2.37,4.73,105.44,-261.94,64.62,-5.23,-3.95,-3.54,-4.69,-253.87,62.25,stairdescent
289.46,-5.04,-2.6,4.43,108.31,-258.56,62.13,-5.53,-3.16,-4.14,43.31,-277.5,64.06,stairdescent
289.48,-5.11,-3.14,3.55,120.94,-236.31,61.88,-5.88,-3.04,-4.24,48.5,-287.37,66.5,stairdescent
289.49,-6.78,-2.69,3.68,127.12,-214.87,58.88,-7.19,-2.57,-5.69,46.38,-303.31,77.75,stairdescent
