Timestamp(s),foot_Accel_X,foot_Accel_Y,foot_Accel_Z,foot_Gyro_X,foot_Gyro_Y,foot_Gyro_Z,shank_Accel_X,shank_Accel_Y,shank_Accel_Z,shank_Gyro_X,shank_Gyro_Y,shank_Gyro_Z,Label
82.21,-6.5,-9.54,15.33,-110.5,65.25,-56.81,-9.21,-5.57,-1.26,-46.63,190.94,-26.56,walk
82.23,-8.41,-7.0,12.06,-63.19,47.13,-53.25,-4.05,-6.64,-6.18,-136.62,156.94,-24.37,walk
82.24,-5.14,-1.87,9.95,-42.19,13.13,-35.5,-10.55,-3.39,-4.72,17.75,148.0,-22.94,walk
82.26,-6.45,0.73,9.27,-29.19,10.88,-29.12,-11.67,-0.53,-3.25,67.0,121.44,-30.25,walk
82.28,-4.99,2.1,8.51,-15.5,5.19,-13.31,-11.6,0.8,-2.3,62.63,105.06,-34.25,walk
82.29,-4.83,1.32,8.56,-16.44,4.81,-10.88,-10.96,1.75,-2.69,4.19,77.31,-22.56,walk
82.31,-4.95,0.6,8.71,-10.38,4.56,-5.0,-10.64,-0.3,-1.82,-34.31,68.56,-18.06,walk
82.32,-4.72,0.91,8.72,-10.38,3.25,-4.69,-11.05,-1.08,-0.79,-45.25,48.19,-15.44,walk
82.33,-4.6,0.82,8.62,-7.94,4.87,-5.44,-10.25,-1.78,-0.14,-29.69,50.19,-15.56,walk
82.35,-4.6,0.98,8.53,-7.19,8.94,-5.69,-10.05,0.43,-0.56,14.88,49.19,-20.44,walk
82.37,-4.82,1.12,8.55,-7.31,9.63,-6.12,-9.89,0.48,-0.75,17.75,50.13,-20.62,walk
82.38,-4.81,1.04,8.56,-6.75,7.69,-7.56,-9.79,0.0,-1.04,1.5,45.19,-17.44,walk
82.4,-5.02,0.74,8.42,-5.0,6.62,-7.44,-9.44,-0.69,-0.78,-5.0,42.5,-16.25,walk
82.41,-4.97,0.75,8.4,-4.31,5.81,-6.19,-9.3,-0.56,-0.27,-2.31,41.19,-16.69,walk
82.43,-4.82,1.01,8.38,-4.81,5.75,-6.75,-9.52,-0.4,-0.09,5.87,42.25,-17.25,walk
82.44,-4.74,0.87,8.35,-2.94,6.69,-8.13,-9.36,-0.47,-0.08,18.87,47.5,-17.37,walk
82.46,-4.74,0.62,8.33,-3.5,8.69,-7.87,-9.29,-0.16,-0.06,14.63,53.13,-18.5,walk
82.47,-5.18,1.03,8.41,-3.81,12.19,-7.25,-9.73,0.24,-0.72,5.56,55.06,-19.12,walk
82.49,-4.99,0.88,8.49,-5.0,12.13,-7.25,-9.57,-0.14,-0.59,-1.19,57.81,-20.0,walk
82.5,-5.18,0.61,8.34,-6.56,9.81,-7.44,-9.21,-0.55,-0.63,4.25,63.88,-23.81,walk
82.52,-4.75,0.89,8.47,-6.12,8.63,-7.37,-9.27,-0.64,-0.47,9.0,67.31,-25.12,walk
82.53,-4.5,0.83,8.72,-6.25,16.5,-8.31,-10.13,-0.81,-0.8,9.38,73.06,-25.44,walk
82.55,-4.61,0.8,8.83,-5.37,22.81,-9.38,-10.56,-0.98,-1.47,5.12,77.87,-26.19,walk
82.57,-4.84,1.01,8.95,-6.19,28.62,-11.69,-10.58,-1.22,-1.92,7.81,78.94,-26.44,walk
82.58,-5.03,0.81,8.76,-1.31,35.63,-15.38,-10.44,-1.63,-2.03,21.87,79.87,-27.5,walk
82.6,-5.26,0.2,8.88,2.25,44.88,-17.94,-10.58,-1.4,-1.97,26.75,79.31,-29.44,walk
82.61,-5.14,0.68,9.01,8.0,54.38,-19.69,-10.34,-1.17,-1.52,34.44,84.87,-35.38,walk
82.63,-5.21,1.59,9.05,6.56,60.25,-21.0,-10.54,-0.26,-1.51,36.19,88.12,-38.56,walk
