Timestamp(s),foot_Accel_X,foot_Accel_Y,foot_Accel_Z,foot_Gyro_X,foot_Gyro_Y,foot_Gyro_Z,shank_Accel_X,shank_Accel_Y,shank_Accel_Z,shank_Gyro_X,shank_Gyro_Y,shank_Gyro_Z,Label
238.14,-4.14,2.65,9.64,-12.56,88.25,-23.69,-12.18,-0.42,-0.16,16.75,88.37,-21.75,rampascent
238.16,-4.36,1.8,9.56,-22.25,98.31,-27.69,-12.49,-0.66,0.21,14.75,102.69,-28.06,rampascent
238.17,-3.69,2.05,11.07,-40.69,121.25,-40.63,-12.77,-0.29,0.62,9.5,111.56,-30.44,rampascent
238.19,-4.15,2.83,9.63,-48.0,146.94,-51.0,-13.81,0.04,1.3,9.44,130.06,-31.56,rampascent
238.21,-4.0,2.61,9.21,-61.13,184.94,-74.5,-13.86,0.29,1.45,16.0,147.87,-31.37,rampascent
238.22,-3.27,3.69,9.56,-73.75,203.87,-89.19,-14.96,0.32,2.75,20.44,154.62,-32.06,rampascent
238.23,-4.1,4.59,10.69,-120.44,257.06,-129.19,-16.43,0.3,4.38,33.38,162.31,-33.38,rampascent
238.25,-4.74,4.56,11.25,-138.56,287.87,-153.56,-18.04,0.69,6.16,59.69,172.75,-32.06,rampascent
238.27,-11.34,-2.45,15.07,-157.25,371.62,-176.31,-19.52,0.75,5.05,58.75,186.69,-39.06,rampascent
238.28,-12.8,0.16,14.47,-99.62,465.44,-161.31,-18.17,2.68,5.08,40.19,200.06,-45.69,rampascent
238.3,-13.72,-0.74,19.05,-73.12,505.75,-163.56,-19.3,4.94,6.34,60.44,210.81,-82.44,rampascent
238.31,-20.03,14.14,20.92,-105.62,521.12,-201.06,-19.31,7.78,3.77,85.69,195.06,-86.56,rampascent
238.33,-13.46,7.41,23.79,-134.12,515.06,-219.5,-14.43,7.0,-6.04,28.87,139.62,-79.44,rampascent
238.34,-16.25,8.76,27.43,-110.31,374.81,-191.81,-15.11,5.65,-6.33,-75.87,123.19,-55.5,rampascent
238.36,-32.9,17.64,39.31,-96.31,156.56,-57.19,-8.29,3.13,-3.73,-167.19,28.87,-33.88,rampascent
238.38,-5.07,16.74,14.38,-91.5,-245.56,134.06,-13.34,0.19,4.22,-141.12,-10.0,-4.06,rampascent
238.39,2.86,1.0,7.12,-117.94,-252.19,110.81,-6.49,-2.05,1.91,-123.06,-62.88,-5.31,rampascent
238.41,0.0,-4.71,8.28,-34.31,-243.5,105.37,-5.81,-1.5,0.41,-63.5,-128.12,-3.62,rampascent
238.42,-1.9,-1.74,8.38,58.38,-247.62,104.0,-6.59,-0.31,-1.37,-22.37,-150.5,1.44,rampascent
238.44,-6.12,5.43,8.81,99.56,-301.75,90.0,-6.62,0.33,-2.14,15.56,-200.0,11.63,rampascent
238.46,-5.94,1.03,7.15,57.69,-357.87,88.25,-6.76,-0.22,-2.01,6.56,-224.31,17.0,rampascent
238.47,-5.49,0.03,6.76,62.06,-370.56,96.75,-7.56,-1.4,-2.1,-2.94,-267.25,24.5,rampascent
238.49,-5.49,0.31,6.4,106.12,-366.12,120.12,-8.1,-1.44,-1.89,-1.69,-282.62,30.44,rampascent
238.5,-6.7,0.99,7.29,121.75,-355.19,127.44,-9.11,-1.14,-2.97,-3.62,-315.37,43.5,rampascent
238.51,-7.93,-0.1,8.53,127.25,-336.5,127.56,-9.56,-1.4,-3.22,-4.75,-328.19,50.63,rampascent
238.53,-8.75,-1.1,9.44,132.62,-330.0,122.37,-10.95,-1.93,-3.89,9.19,-348.87,59.88,rampascent
238.55,-10.2,-1.57,10.94,158.56,-319.87,103.12,-11.8,-1.74,-3.9,43.44,-361.31,67.31,rampascent
238.56,-10.64,-1.34,11.4,172.81,-300.62,78.25,-13.59,-1.33,-4.84,54.19,-366.0,70.5,rampascent
238.58,-13.77,-0.84,12.62,176.87,-288.0,70.81,-14.06,-0.79,-5.96,59.81,-369.81,75.62,rampascent
238.59,-15.6,0.43,12.16,179.19,-268.5,74.69,-14.48,-0.63,-6.2,53.75,-366.31,77.94,rampascent
238.61,-16.27,0.37,11.82,172.31,-254.87,84.25,-14.83,-1.23,-7.97,29.19,-350.5,79.87,rampascent
238.63,-22.55,-3.36,11.22,157.75,-226.19,117.31,-14.08,-1.24,-8.77,26.19,-331.75,72.69,rampascent
238.64,-23.58,-3.78,9.51,119.94,-225.31,133.37,-11.82,0.5,-10.35,18.69,-273.44,56.56,rampascent
238.66,-20.35,-5.53,2.77,86.19,-214.62,128.0,-12.33,0.41,-10.44,-13.56,-245.19,51.94,rampascent
238.67,-20.31,-6.08,1.0,26.31,-161.44,105.56,-9.53,-0.73,-12.32,-63.81,-185.94,38.25,rampascent
238.69,-22.61,-8.71,-4.18,12.44,-131.37,96.12,-7.78,-1.94,-12.87,-71.56,-103.69,29.0,rampascent
238.7,-22.0,-10.0,-5.58,3.37,-57.38,81.81,-7.09,-2.0,-12.73,-70.44,-57.81,25.44,rampascent
238.72,-20.79,-10.67,-5.97,2.37,-15.94,71.69,-5.53,-1.47,-12.64,-59.31,36.63,15.63,rampascent
238.74,-20.29,-9.94,0.34,-5.87,48.44,46.88,-5.28,-2.36,-13.2,-63.13,76.69,10.5,rampascent
238.75,-15.77,-3.91,0.54,-18.06,75.87,37.0,-8.1,-0.31,-5.11,-54.0,137.0,-1.62,rampascent
238.76,3.99,7.96,24.01,-87.87,170.56,-10.25,-15.21,-0.97,15.19,-61.06,158.12,-14.25,rampascent
238.78,0.38,4.45,15.49,-65.19,205.75,-27.31,-14.92,-4.71,-2.28,-79.06,93.37,11.5,rampascent
238.79,-11.15,-6.83,10.99,-75.06,274.0,-95.44,-15.95,-3.33,-9.0,-95.62,120.56,15.69,rampascent
238.81,-24.6,1.73,19.5,-77.31,255.56,-77.19,-12.11,-3.18,-1.08,-96.94,195.19,3.12,rampascent
238.83,-11.35,0.43,12.87,-113.12,109.19,-62.38,-10.04,-3.48,-1.94,-107.69,200.56,15.13,rampascent
238.84,-6.47,-0.66,9.67,-84.56,69.37,-57.31,-7.95,0.1,-4.12,1.94,183.44,15.5,rampascent
