Timestamp(s),foot_Accel_X,foot_Accel_Y,foot_Accel_Z,foot_Gyro_X,foot_Gyro_Y,foot_Gyro_Z,shank_Accel_X,shank_Accel_Y,shank_Accel_Z,shank_Gyro_X,shank_Gyro_Y,shank_Gyro_Z,Label
136.09,-5.89,0.41,8.35,-3.31,17.94,-7.19,-8.52,-0.15,-2.46,27.0,104.12,-14.81,rampdescent
136.11,-6.02,0.15,7.46,2.25,25.06,-11.13,-7.96,0.1,-2.58,29.94,110.62,-16.62,rampdescent
136.12,-5.82,0.82,7.57,2.06,31.81,-12.81,-8.39,0.82,-3.13,23.87,114.69,-16.12,rampdescent
136.13,-5.61,1.65,8.42,0.56,34.63,-14.81,-11.13,0.68,-3.06,22.19,114.06,-17.12,rampdescent
136.15,-5.7,1.36,8.68,-0.62,38.44,-18.06,-10.94,-0.03,-2.62,30.81,117.31,-17.06,rampdescent
136.17,-5.46,0.84,9.15,-17.12,71.12,-32.06,-10.95,-0.78,-2.47,35.0,121.25,-17.81,rampdescent
136.18,-5.56,0.51,9.16,-19.69,83.44,-37.13,-11.41,-0.55,-2.77,42.19,132.19,-16.94,rampdescent
136.2,-5.74,0.79,8.97,-23.44,98.19,-42.94,-11.6,0.07,-3.35,46.81,138.19,-17.25,rampdescent
136.21,-5.78,1.49,9.03,-25.75,112.12,-49.44,-12.05,0.14,-3.48,51.38,144.44,-18.62,rampdescent
136.23,-5.64,1.74,8.66,-34.38,142.62,-68.25,-12.25,0.65,-4.62,53.69,143.5,-20.81,rampdescent
136.24,-6.2,1.35,8.5,-54.63,175.19,-93.12,-15.19,0.55,-3.96,51.06,137.81,-28.44,rampdescent
136.26,-5.82,1.73,9.79,-65.56,190.81,-107.81,-16.36,0.85,-2.53,52.88,131.69,-34.88,rampdescent
136.27,-5.95,2.46,10.8,-89.94,237.75,-139.25,-19.17,1.16,0.73,52.56,136.62,-48.5,rampdescent
136.29,-8.34,0.04,13.06,-99.87,267.69,-151.0,-18.29,0.71,1.03,42.56,140.5,-54.38,rampdescent
136.31,-10.64,-1.7,14.26,-91.69,341.37,-157.56,-17.02,0.02,0.17,24.69,148.37,-66.81,rampdescent
136.32,-12.6,-1.04,16.5,-71.31,381.81,-161.69,-15.81,1.27,0.29,44.81,140.06,-73.25,rampdescent
136.34,-17.66,7.62,17.36,0.37,429.06,-175.69,-11.81,5.33,-4.67,75.87,117.75,-76.0,rampdescent
136.35,-17.81,11.71,10.09,-41.75,317.87,-188.19,-7.69,3.28,-11.13,-13.88,93.37,-43.44,rampdescent
136.37,-38.08,8.43,29.82,-122.75,175.81,-172.19,-6.28,1.59,-3.67,-76.37,72.0,-33.88,rampdescent
136.38,-13.45,13.37,18.2,-60.44,-85.44,37.88,-9.04,0.22,3.28,-58.38,20.5,-33.06,rampdescent
136.4,7.49,9.66,4.09,-59.31,-136.44,85.12,-7.27,0.9,2.97,-13.88,-11.13,-23.94,rampdescent
136.41,2.27,0.31,6.05,-72.19,-105.81,97.06,-5.23,0.08,-0.36,-58.56,-77.44,-1.0,rampdescent
136.43,1.15,0.76,6.98,-26.31,-97.37,99.56,-4.91,-0.53,-0.59,-80.44,-106.06,6.31,rampdescent
136.45,-2.37,4.62,8.12,43.5,-129.87,99.94,-4.81,-0.31,-1.19,-51.88,-149.94,15.56,rampdescent
136.46,-2.94,3.84,8.28,39.31,-157.0,96.87,-4.96,-0.08,-1.65,-35.31,-172.94,20.25,rampdescent
136.48,-3.88,3.03,8.42,28.25,-212.69,105.69,-5.9,-0.36,-2.27,-42.63,-215.62,25.06,rampdescent
136.49,-4.81,2.44,7.89,35.38,-237.87,119.19,-6.61,-0.44,-2.4,-51.63,-235.44,25.69,rampdescent
136.51,-5.8,3.04,7.61,49.19,-268.12,154.06,-7.12,-0.68,-2.55,-70.19,-269.31,24.62,rampdescent
136.52,-6.69,2.13,7.45,48.88,-274.5,169.87,-8.2,-0.46,-3.0,-74.94,-284.62,24.87,rampdescent
136.54,-7.64,1.26,7.65,43.13,-274.0,187.62,-9.23,-0.24,-3.61,-82.87,-307.94,28.62,rampdescent
136.55,-8.21,1.25,7.93,46.5,-260.56,189.81,-9.8,-0.26,-3.79,-94.25,-324.75,29.5,rampdescent
136.57,-10.78,0.07,10.13,47.56,-250.19,185.87,-11.26,-0.29,-4.75,-93.31,-333.62,28.06,rampdescent
136.59,-11.57,0.09,10.61,57.0,-238.62,169.37,-11.93,-0.66,-5.01,-69.12,-344.25,18.44,rampdescent
136.6,-13.77,-0.14,10.35,60.56,-236.94,155.75,-13.1,-0.85,-5.13,-40.0,-348.12,12.69,rampdescent
136.62,-15.5,-2.14,9.93,64.56,-218.0,119.37,-13.74,-0.56,-5.31,14.19,-349.62,7.12,rampdescent
136.63,-18.57,-2.61,9.98,75.5,-202.75,100.87,-14.29,0.58,-5.79,71.31,-330.0,11.38,rampdescent
136.65,-21.92,-1.06,10.68,115.62,-187.06,61.75,-14.07,0.8,-7.44,73.56,-317.25,21.12,rampdescent
136.66,-23.17,-0.43,10.13,129.69,-194.06,49.38,-13.61,0.78,-7.86,72.12,-299.81,29.75,rampdescent
136.68,-19.77,-2.01,4.78,129.56,-230.37,45.19,-11.78,-1.1,-7.28,59.38,-253.94,39.13,rampdescent
136.69,-18.35,-3.39,2.55,122.19,-238.19,51.69,-10.87,-1.87,-6.65,57.88,-228.94,37.38,rampdescent
136.71,-16.97,-8.07,-2.02,99.06,-209.12,52.44,-8.92,-2.12,-6.67,67.81,-171.75,30.87,rampdescent
136.73,-19.44,-8.7,-3.45,83.87,-146.06,35.06,-8.56,-1.09,-7.49,51.56,-92.37,20.25,rampdescent
136.74,-19.07,-7.77,-4.28,67.0,-114.0,21.19,-7.92,-0.52,-7.22,32.69,-42.19,15.63,rampdescent
136.76,-14.06,-5.24,-0.31,12.63,-45.5,-19.69,-8.22,-1.34,-7.05,-13.5,41.44,14.25,rampdescent
136.78,-8.64,6.48,6.08,-11.0,2.37,-37.44,-10.8,-1.53,-2.66,-21.37,88.0,7.25,rampdescent
136.8,5.39,-12.91,1.38,-143.06,97.94,-83.81,-11.88,-0.68,-0.88,-40.5,100.37,12.25,rampdescent
136.81,-5.06,1.92,16.25,-136.25,165.75,-77.37,-21.48,-4.32,13.9,-85.31,118.81,12.25,rampdescent
136.83,-16.17,4.66,16.27,-98.06,235.81,-96.31,-17.68,-3.14,-5.06,-83.31,142.94,10.69,rampdescent
136.84,-28.02,4.89,15.74,-86.06,183.06,-112.06,-13.95,4.75,-2.6,-35.31,171.81,7.25,rampdescent
136.86,-2.4,-7.92,10.78,-114.06,70.37,-62.13,-9.0,-3.22,-0.83,-107.12,185.75,21.62,rampdescent
136.87,-9.75,0.62,9.08,-112.56,74.75,-58.63,-6.31,-1.79,-4.57,-107.12,185.75,21.62,rampdescent
136.89,-10.6,1.43,9.14,-56.0,53.5,-71.44,-12.61,-1.75,-3.91,38.38,142.19,3.75,rampdescent
136.9,-5.98,-1.5,10.05,-39.81,8.94,-38.5,-11.62,-3.18,-2.31,96.44,120.37,-18.31,rampdescent
136.92,-5.84,-0.23,8.9,-22.56,6.75,-26.06,-10.01,2.59,-3.5,74.44,113.75,-12.56,rampdescent
136.94,-4.71,1.4,8.26,-7.06,2.19,-16.19,-10.24,1.84,-2.08,3.62,92.62,-4.31,rampdescent
136.95,-5.34,1.12,8.16,-15.25,1.37,-15.25,-10.16,0.57,-2.7,2.69,84.0,-0.19,rampdescent
136.97,-5.5,0.7,8.49,-11.0,5.62,-13.25,-10.79,0.91,-2.14,2.19,71.19,-7.19,rampdescent
136.98,-5.65,0.56,8.27,-7.25,5.75,-11.69,-10.06,0.53,-2.29,0.06,62.75,-8.56,rampdescent
137.0,-5.52,0.41,8.28,-12.13,3.25,-8.5,-9.97,0.12,-1.85,10.81,52.81,-12.0,rampdescent
137.02,-5.77,0.27,8.44,-6.06,3.19,-5.62,-9.87,0.34,-1.72,11.13,43.94,-11.75,rampdescent
