Timestamp(s),trunk_Accel_X,trunk_Accel_Y,trunk_Accel_Z,trunk_Gyro_X,trunk_Gyro_Y,trunk_Gyro_Z,trunk_MAG_X,trunk_MAG_Y,trunk_MAG_Z,foot_Accel_X,foot_Accel_Y,foot_Accel_Z,foot_Gyro_X,foot_Gyro_Y,foot_Gyro_Z,foot_MAG_X,foot_MAG_Y,foot_MAG_Z,shank_Accel_X,shank_Accel_Y,shank_Accel_Z,shank_Gyro_X,shank_Gyro_Y,shank_Gyro_Z,shank_MAG_X,shank_MAG_Y,shank_MAG_Z,thigh_Accel_X,thigh_Accel_Y,thigh_Accel_Z,thigh_Gyro_X,thigh_Gyro_Y,thigh_Gyro_Z,thigh_MAG_X,thigh_MAG_Y,thigh_MAG_Z,Label
33.45,-9.63,-0.60,0.45,-1.12,0.69,-0.13,26.00,1.56,40.69,-5.28,0.50,8.22,-0.19,0.06,-0.25,75.56,14.38,-1.19,-9.30,-0.67,0.65,-1.56,0.44,0.25,26.75,1.56,41.56,-9.77,-0.15,0.00,0.31,0.31,-0.44,33.56,-2.06,49.06,walk
33.48,-9.66,-0.57,0.08,-5.56,-1.69,0.06,26.75,1.56,41.56,-5.28,0.49,8.19,-0.25,-0.06,-0.25,75.56,14.38,-1.19,-9.41,-0.64,0.47,2.19,1.31,0.37,26.75,1.56,41.56,-9.83,-0.11,0.04,0.19,0.37,-0.37,33.56,-2.50,50.00,walk
33.51,-9.64,-0.66,0.33,2.50,-1.44,-0.25,26.00,2.00,40.69,-5.25,0.50,8.26,-0.19,0.19,-0.31,75.19,14.00,-1.56,-9.50,-0.71,0.55,0.56,0.88,-0.13,26.00,2.00,40.69,-9.77,-0.24,-0.07,0.31,0.19,-0.25,33.56,-2.50,50.00,walk
33.54,-9.52,-0.68,0.45,-0.88,3.69,0.31,26.00,2.00,40.69,-5.29,0.50,8.22,-0.19,0.06,-0.31,75.19,14.00,-1.56,-9.53,-0.67,0.47,-2.12,0.94,0.25,26.00,2.00,40.69,-9.83,-0.11,0.00,2.44,0.06,-0.50,34.00,-2.75,50.25,walk
33.57,-9.54,-0.67,0.53,-3.19,-1.06,0.06,26.37,2.00,42.38,-5.26,0.50,8.23,-0.19,0.37,-0.44,75.19,14.00,0.00,-9.47,-0.65,0.54,-1.56,-2.50,-0.88,26.37,2.00,42.38,-9.78,-0.09,-0.02,1.06,0.31,-0.62,34.00,-2.75,50.25,walk
33.60,-9.58,-0.61,0.40,-0.25,-3.94,-1.25,26.37,2.00,42.38,-5.29,0.49,8.23,-0.19,0.31,-0.25,75.19,13.69,-1.06,-9.50,-0.60,0.45,0.44,-4.00,-1.00,25.69,2.00,42.38,-9.77,-0.18,0.00,-0.13,0.13,-0.56,33.56,-2.06,50.25,walk
33.63,-9.38,-0.62,0.54,-0.13,-4.37,-0.75,25.69,2.00,42.38,-5.25,0.48,8.22,-0.25,0.31,-0.19,75.19,13.69,-1.06,-9.33,-0.67,0.53,1.12,-2.37,-1.00,25.69,2.00,42.38,-9.77,-0.22,0.00,1.00,0.81,-0.50,33.56,-1.69,50.25,walk
33.66,-9.28,-0.71,0.63,4.12,-2.00,-1.50,26.75,1.56,41.56,-5.27,0.52,8.24,-0.19,0.25,-0.19,75.19,14.38,-1.06,-9.22,-0.72,0.57,5.44,-3.06,-1.94,26.75,1.56,41.56,-9.75,-0.22,-0.13,2.44,-0.25,-0.56,33.56,-1.69,50.25,walk
33.69,-9.56,-0.76,0.49,6.25,-1.25,-2.37,26.75,1.56,41.56,-5.29,0.52,8.21,0.00,-0.19,-0.25,75.19,14.38,-1.06,-9.54,-0.77,0.45,7.06,-1.81,-2.12,26.75,1.56,41.56,-9.80,-0.14,-0.16,4.50,-0.19,-0.75,34.38,-2.50,49.50,walk
33.72,-9.61,-0.78,0.46,7.06,-1.69,-1.94,26.00,1.19,41.88,-5.28,0.49,8.24,-0.13,-0.13,0.06,76.00,13.69,-1.19,-9.53,-0.73,0.51,1.50,-1.06,-1.25,26.00,1.19,41.88,-9.82,-0.08,-0.23,2.81,-0.19,-0.56,34.38,-2.50,49.50,walk
