Timestamp(s),foot_Accel_X,foot_Accel_Y,foot_Accel_Z,foot_Gyro_X,foot_Gyro_Y,foot_Gyro_Z,shank_Accel_X,shank_Accel_Y,shank_Accel_Z,shank_Gyro_X,shank_Gyro_Y,shank_Gyro_Z,Label
101.96,-5.1,1.79,9.05,-10.06,38.25,-30.25,-10.96,1.53,0.37,13.06,33.5,-1.12,stairascent
101.97,-5.62,1.05,8.62,4.44,51.69,-28.62,-11.57,-0.49,0.37,7.19,33.44,-1.94,stairascent
101.99,-5.69,1.14,8.74,7.12,57.0,-25.94,-11.6,0.34,0.0,30.69,36.38,-11.31,stairascent
102.0,-6.03,1.33,8.85,4.19,54.31,-20.81,-12.66,-0.34,0.75,38.63,38.44,-14.13,stairascent
102.02,-4.93,1.19,9.34,-1.0,48.69,-19.06,-13.7,0.32,2.35,51.5,46.56,-19.94,stairascent
102.03,-3.46,0.94,10.73,-1.69,72.75,-12.56,-17.03,-0.19,3.89,48.06,60.0,-33.38,stairascent
102.05,-4.59,3.78,12.03,29.81,131.87,-25.87,-17.04,-0.76,4.59,43.94,66.37,-31.37,stairascent
102.06,-2.71,3.03,12.91,-6.44,166.44,-34.06,-19.3,-0.11,10.88,72.62,93.06,-39.5,stairascent
102.08,-2.0,4.87,12.4,-46.5,255.81,-87.94,-19.53,0.28,12.1,108.0,106.19,-45.88,stairascent
102.09,-6.11,4.49,14.5,-54.88,308.81,-117.5,-19.73,1.89,12.03,105.5,134.81,-40.94,stairascent
102.11,-5.65,-2.89,16.64,-16.75,389.69,-115.94,-21.7,1.3,8.39,78.87,134.69,-34.25,stairascent
102.13,-19.9,1.01,9.66,42.0,443.06,-123.37,-19.82,6.42,-3.62,39.19,114.37,-33.88,stairascent
102.14,-37.6,6.47,10.99,66.31,389.62,-73.69,-16.56,8.09,-18.86,7.12,145.94,-25.12,stairascent
102.16,-20.6,13.58,-1.88,-127.44,255.69,-31.5,-20.92,6.19,-14.91,-154.94,240.25,-31.44,stairascent
102.17,-29.53,2.25,13.75,-230.69,68.0,-21.81,-16.43,8.01,-21.78,-176.94,228.69,-27.44,stairascent
102.19,-22.56,-6.4,12.07,-182.81,-38.5,-121.31,-17.9,-4.49,-3.16,-169.87,241.56,-16.0,stairascent
102.2,-9.68,-8.15,9.78,-60.13,-37.13,-179.94,-10.69,-3.74,-2.35,-29.25,196.12,-17.94,stairascent
102.22,-7.81,5.25,10.1,69.69,-74.0,-210.44,-9.03,-2.55,-1.77,48.75,182.25,-27.44,stairascent
102.24,-4.43,9.27,9.37,47.13,-95.19,-202.37,-6.56,0.04,-0.5,154.06,153.56,-49.69,stairascent
102.25,3.27,11.84,6.03,-37.44,-137.31,-116.94,-4.14,2.3,0.82,145.69,127.0,-65.25,stairascent
102.26,5.73,10.19,4.29,-64.81,-145.06,-56.69,-1.31,1.7,1.56,49.56,39.0,-64.94,stairascent
102.28,7.05,7.05,2.24,-47.44,-133.62,57.69,-0.83,1.78,2.84,-4.5,16.69,-58.13,stairascent
102.29,6.43,7.79,2.11,-26.31,-129.56,101.06,-1.36,2.05,3.21,-82.69,-24.56,-26.37,stairascent
102.31,4.73,5.94,1.9,-14.44,-139.56,147.87,-1.13,2.46,2.43,-102.19,-50.75,-10.69,stairascent
102.33,4.62,4.66,1.55,1.75,-163.25,158.81,0.71,1.77,1.24,-130.62,-101.44,9.69,stairascent
102.34,2.64,2.91,1.49,18.12,-177.44,157.25,0.77,1.01,0.81,-135.12,-121.56,16.37,stairascent
102.36,1.76,2.41,0.17,41.25,-197.94,147.31,0.1,-0.67,-0.22,-131.94,-157.44,28.31,stairascent
102.37,0.28,1.13,-0.64,51.44,-198.75,142.94,0.3,-0.73,-1.68,-124.06,-179.19,31.56,stairascent
102.39,-3.47,-0.35,-0.97,73.0,-193.94,136.44,0.9,-1.16,-4.47,-90.44,-201.44,36.75,stairascent
102.41,-5.0,-1.38,-0.85,87.62,-186.25,127.81,-0.43,-0.68,-6.38,-61.69,-208.44,48.44,stairascent
102.42,-8.41,-4.74,-0.97,94.75,-183.25,113.69,-0.45,-0.74,-7.71,-50.38,-216.12,49.13,stairascent
102.44,-13.87,-7.87,-1.97,103.75,-181.12,57.81,-1.32,-0.56,-10.63,-12.63,-199.81,41.06,stairascent
102.45,-14.23,-7.15,-2.91,93.19,-173.19,27.62,-2.68,-0.78,-10.87,0.5,-185.5,35.5,stairascent
102.47,-14.93,-6.41,-5.83,51.69,-118.69,13.88,-2.15,-2.47,-13.76,10.5,-149.25,25.69,stairascent
102.48,-14.07,-6.96,-6.55,32.19,-77.25,26.87,-1.49,-2.26,-13.55,-21.31,-98.56,14.94,stairascent
102.5,-10.76,-7.46,-5.52,5.87,-7.5,44.63,0.67,-2.58,-12.13,-39.44,-74.62,9.31,stairascent
102.51,-8.54,-7.39,-4.96,-2.44,9.06,44.0,1.73,-2.41,-10.52,-53.69,-43.38,4.81,stairascent
102.53,-20.6,-16.83,24.36,-184.81,-189.0,-71.87,-15.66,24.23,-38.29,-31.0,-49.13,2.06,stairascent
102.54,-0.29,-5.12,28.79,-89.75,-159.25,-2.25,-39.35,-8.74,1.54,40.75,-28.62,75.25,stairascent
