Timestamp(s),foot_Accel_X,foot_Accel_Y,foot_Accel_Z,foot_Gyro_X,foot_Gyro_Y,foot_Gyro_Z,shank_Accel_X,shank_Accel_Y,shank_Accel_Z,shank_Gyro_X,shank_Gyro_Y,shank_Gyro_Z,Label
19.75,-4.85,0.88,8.3,-6.25,-0.13,-0.5,-9.08,-0.47,-0.43,-6.44,49.63,-7.56,stairdescent
19.77,-4.45,1.25,8.62,-6.56,3.37,-1.69,-9.19,-0.44,0.31,2.94,54.13,-7.87,stairdescent
19.78,-4.54,1.4,8.44,-5.87,7.5,-3.56,-9.26,0.43,-0.26,17.06,67.25,-8.75,stairdescent
19.8,-4.65,1.47,8.32,-6.0,13.38,-7.75,-8.97,0.16,-1.38,16.81,78.69,-8.38,stairdescent
19.82,-4.98,1.07,8.43,-9.44,21.87,-10.69,-8.98,0.18,-1.64,18.87,82.06,-9.25,stairdescent
19.83,-5.02,0.81,8.49,-5.81,22.12,-11.38,-9.33,0.15,-1.85,22.44,91.37,-11.56,stairdescent
19.84,-4.7,1.1,8.61,0.69,35.94,-12.31,-9.42,0.05,-1.62,22.62,97.69,-13.0,stairdescent
19.86,-4.85,1.3,8.62,-0.31,44.31,-14.63,-8.79,0.1,-2.88,26.94,111.81,-16.81,stairdescent
19.88,-5.1,1.02,8.44,-2.87,43.06,-17.75,-9.21,-0.11,-2.73,28.62,113.12,-17.0,stairdescent
19.89,-5.08,0.95,8.58,-8.31,41.75,-18.31,-9.06,-0.29,-3.88,38.25,120.94,-20.25,stairdescent
19.91,-4.36,0.63,9.01,-5.62,41.31,-20.06,-9.69,-0.65,-2.86,41.0,130.44,-24.44,stairdescent
19.93,-4.74,0.49,9.09,-7.19,51.75,-26.5,-9.67,-0.39,-3.92,40.19,132.37,-26.5,stairdescent
19.94,-5.87,0.9,8.11,-13.88,59.06,-30.81,-8.93,0.18,-5.54,33.75,132.94,-28.37,stairdescent
19.95,-5.72,1.52,8.58,-6.87,59.94,-41.63,-10.22,0.16,-3.67,35.69,135.25,-28.25,stairdescent
19.97,-5.12,1.78,9.48,-28.31,66.62,-48.69,-10.2,-0.19,-3.82,40.5,141.62,-26.69,stairdescent
19.99,-6.12,0.99,8.81,-47.13,89.81,-64.37,-9.94,-0.56,-5.2,37.5,141.25,-24.25,stairdescent
20.0,-5.82,0.97,9.42,-47.94,104.31,-75.31,-12.29,-1.03,-4.56,48.44,151.06,-23.25,stairdescent
20.02,-5.0,1.13,10.89,-50.88,120.25,-81.94,-13.65,-0.26,-3.77,44.44,163.19,-26.06,stairdescent
20.04,-6.26,3.05,9.79,-60.5,154.31,-100.62,-12.37,0.98,-4.74,32.56,164.25,-28.0,stairdescent
