Timestamp(s),trunk_Accel_X,trunk_Accel_Y,trunk_Accel_Z,trunk_Gyro_X,trunk_Gyro_Y,trunk_Gyro_Z,trunk_MAG_X,trunk_MAG_Y,trunk_MAG_Z,foot_Accel_X,foot_Accel_Y,foot_Accel_Z,foot_Gyro_X,foot_Gyro_Y,foot_Gyro_Z,foot_MAG_X,foot_MAG_Y,foot_MAG_Z,shank_Accel_X,shank_Accel_Y,shank_Accel_Z,shank_Gyro_X,shank_Gyro_Y,shank_Gyro_Z,shank_MAG_X,shank_MAG_Y,shank_MAG_Z,thigh_Accel_X,thigh_Accel_Y,thigh_Accel_Z,thigh_Gyro_X,thigh_Gyro_Y,thigh_Gyro_Z,thigh_MAG_X,thigh_MAG_Y,thigh_MAG_Z,Label
121.10,-9.65,-1.18,0.74,-1.31,-1.81,-0.19,29.50,30.56,-38.56,-5.35,0.36,8.21,0.19,-0.81,0.56,6.75,-28.25,-90.50,-9.54,-1.18,0.82,-1.50,2.00,-0.75,28.37,30.87,-38.19,-9.73,-0.41,-0.06,-0.56,-1.69,0.81,40.75,26.00,-48.38,stairascent
121.13,-9.67,-1.21,0.80,-1.37,1.44,-0.69,28.37,30.87,-38.19,-5.31,0.37,8.23,0.13,-1.12,1.00,7.56,-28.00,-91.06,-9.40,-1.24,0.96,-1.12,0.81,0.88,28.37,30.87,-38.19,-9.83,-0.19,0.00,-0.19,-0.06,0.06,40.75,26.00,-48.38,stairascent
121.16,-9.56,-1.21,0.89,-2.06,2.37,1.62,28.75,31.25,-37.38,-5.34,0.39,8.22,0.00,-1.12,0.88,7.56,-28.00,-91.06,-9.70,-1.21,0.85,-1.69,-7.50,2.00,28.75,31.25,-37.38,-9.77,-0.42,0.04,-1.50,-1.06,0.69,39.38,26.75,-48.19,stairascent
121.19,-9.80,-1.13,0.52,-0.69,-14.88,1.37,28.75,31.25,-37.38,-5.32,0.38,8.26,-0.13,-1.50,0.81,7.25,-28.69,-92.56,-9.89,-1.16,0.71,-2.31,-20.19,0.75,28.75,31.25,-37.38,-9.81,-0.36,0.10,-0.31,-2.25,-0.13,39.25,25.69,-47.38,stairascent
121.22,-9.80,-1.20,0.89,-3.69,-23.69,-0.19,29.06,32.06,-39.00,-5.32,0.36,8.29,0.25,-1.31,0.88,7.25,-28.69,-92.56,-9.79,-1.27,0.79,-7.44,-20.56,-1.31,29.06,32.06,-39.00,-9.75,-0.23,-0.03,0.50,-2.06,0.25,39.25,25.69,-47.38,stairascent
121.26,-9.39,-1.30,1.22,-8.69,-24.75,-2.44,29.06,32.06,-39.00,-5.25,0.44,8.24,1.25,-2.62,1.50,8.00,-28.69,-92.19,-8.96,-1.35,1.50,-7.25,-18.06,-2.25,28.37,30.87,-38.56,-9.71,-0.42,0.14,-2.56,-1.06,0.31,39.69,26.06,-48.19,stairascent
121.28,-8.99,-1.31,1.33,-4.12,-9.13,-0.37,28.37,30.87,-38.56,-5.26,0.38,8.27,0.81,-2.25,1.25,6.87,-29.50,-91.69,-9.01,-1.38,1.23,-2.87,-6.37,0.69,28.37,30.87,-38.56,-9.81,-0.64,0.17,-5.06,-3.87,0.50,39.69,26.06,-48.19,stairascent
121.32,-9.78,-1.55,0.90,1.06,-1.12,-0.50,27.25,31.25,-38.88,-5.17,0.47,8.24,0.37,-0.75,0.62,6.87,-29.50,-91.69,-9.93,-1.65,0.86,2.19,-2.87,-1.25,27.25,31.25,-38.88,-9.93,-0.60,0.01,5.75,-4.50,0.19,39.69,26.06,-48.88,stairascent
121.36,-9.84,-1.69,1.13,4.37,-5.87,-1.25,27.25,31.25,-38.88,-5.32,0.38,8.28,0.88,-0.62,0.81,8.00,-28.00,-92.56,-9.60,-1.61,1.28,5.75,-6.56,-1.00,27.25,32.06,-38.88,-9.81,-0.38,-0.17,7.37,-5.50,0.31,39.69,25.69,-49.38,stairascent
121.38,-9.42,-1.53,1.27,7.50,-4.19,-0.81,27.25,32.06,-38.88,-5.31,0.39,8.27,1.31,-1.12,1.06,6.50,-29.50,-91.69,-9.36,-1.51,1.28,7.31,-2.50,-0.81,27.25,32.06,-38.88,-9.85,-0.45,0.08,4.06,-4.37,1.31,39.69,25.69,-49.38,stairascent
121.41,-9.37,-1.56,1.33,8.25,-1.19,-0.88,27.69,31.25,-39.38,-5.29,0.35,8.27,1.75,-0.88,1.50,6.50,-29.50,-91.69,-9.57,-1.54,1.35,11.31,-0.06,-0.44,27.69,31.25,-39.38,-9.83,-0.56,0.12,3.12,-4.25,2.06,40.06,26.06,-49.75,stairascent
121.44,-9.59,-1.50,1.30,9.38,0.31,-0.50,27.69,31.25,-39.38,-5.26,0.40,8.26,1.94,-1.19,1.94,6.50,-29.06,-91.37,-9.50,-1.45,1.22,9.31,0.44,-0.88,27.69,31.25,-39.38,-9.76,-0.72,0.10,5.25,-4.62,1.69,40.06,26.06,-49.75,stairascent
121.47,-9.57,-1.41,1.25,12.81,1.12,-1.37,27.69,30.87,-39.38,-5.27,0.40,8.25,2.62,-1.56,2.37,6.50,-29.06,-91.37,-9.60,-1.25,1.47,15.88,0.62,-1.31,27.69,30.87,-39.38,-9.75,-0.52,0.18,12.19,-5.44,2.19,39.00,25.69,-49.75,stairascent
121.50,-9.59,-1.23,1.51,20.12,1.06,-1.06,27.69,30.87,-39.38,-5.11,0.57,8.28,2.37,-0.62,1.94,6.50,-28.69,-93.00,-9.58,-1.26,1.48,19.94,2.69,-0.88,26.87,30.56,-38.56,-9.83,-0.22,0.17,12.88,-5.44,1.50,38.56,26.06,-48.56,stairascent
121.54,-9.64,-1.25,1.30,17.25,4.81,-0.19,26.87,30.56,-38.56,-5.26,0.47,8.25,2.81,-0.44,1.87,6.50,-28.25,-93.00,-9.64,-1.06,1.25,15.69,4.12,0.25,26.87,30.56,-38.56,-9.77,-0.05,0.13,6.81,-2.81,2.37,38.56,26.06,-48.56,stairascent
121.57,-9.63,-0.82,1.28,10.44,2.37,-0.37,28.00,29.37,-39.69,-5.22,0.59,8.20,2.44,-0.69,1.75,6.50,-28.25,-93.00,-9.57,-0.75,1.24,8.00,1.81,-1.00,28.00,29.37,-39.69,-9.77,0.13,0.50,3.19,-1.00,2.62,38.56,25.00,-48.88,stairascent
121.60,-9.49,-0.77,1.18,5.19,1.44,-1.81,28.00,29.37,-39.69,-5.24,0.56,8.24,3.06,-1.12,2.06,6.50,-29.06,-92.00,-9.48,-0.80,1.27,5.19,1.19,-1.75,28.00,29.37,-39.69,-9.71,-0.05,0.73,-3.00,-1.62,2.50,38.56,24.56,-49.75,stairascent
121.62,-9.49,-0.97,1.30,6.12,3.12,-0.13,27.19,30.19,-40.56,-5.11,0.59,8.21,1.62,-0.44,1.12,6.50,-29.06,-92.00,-9.56,-1.15,1.15,5.94,3.25,1.31,27.19,30.19,-40.56,-9.75,-0.29,0.62,-5.00,-3.44,2.37,38.56,24.56,-49.75,stairascent
121.66,-9.63,-1.02,1.08,2.37,3.25,2.62,27.19,30.19,-40.56,-5.28,0.49,8.23,0.94,0.06,0.37,6.50,-29.50,-90.87,-9.62,-0.92,1.08,-0.25,3.00,2.19,28.00,29.75,-39.69,-9.79,-0.11,0.40,-3.00,-2.69,2.12,39.69,25.00,-49.25,stairascent
121.69,-9.53,-0.79,1.18,-5.06,1.62,0.19,28.00,29.75,-39.69,-5.23,0.56,8.20,0.75,-0.06,0.56,6.06,-29.75,-91.69,-9.48,-0.87,1.37,-5.75,1.19,-1.25,28.00,29.75,-39.69,-9.76,-0.11,0.22,-3.75,-0.69,1.62,39.69,25.00,-49.25,stairascent
121.71,-9.51,-0.92,1.39,-4.06,2.75,-2.37,28.25,29.06,-38.56,-5.33,0.51,8.27,1.50,-0.81,0.88,6.06,-29.75,-91.69,-9.61,-1.20,1.32,-2.87,3.62,-2.06,28.25,29.06,-38.56,-9.67,-0.13,0.29,-2.19,-1.31,1.75,39.69,24.56,-49.75,stairascent
121.75,-9.62,-1.26,1.27,-1.81,3.94,-0.69,28.25,29.06,-38.56,-5.12,0.60,8.23,1.94,-1.19,1.25,6.06,-29.06,-91.06,-9.64,-1.32,1.25,-1.94,3.94,-0.06,28.25,29.06,-38.56,-9.80,-0.24,0.33,-3.75,0.25,1.00,39.00,25.00,-50.19,stairascent
121.78,-9.61,-1.27,1.37,-2.19,3.50,0.25,28.25,30.19,-38.88,-5.22,0.58,8.21,0.62,0.00,0.56,6.06,-29.06,-91.06,-9.59,-1.17,1.42,-2.19,3.87,0.44,28.25,30.19,-38.88,-9.77,-0.11,0.12,-2.31,2.00,1.19,39.00,25.00,-50.19,stairascent
121.81,-9.52,-1.10,1.32,-2.25,4.56,0.94,28.25,30.19,-38.88,-5.25,0.56,8.27,0.19,-0.37,0.62,5.75,-29.50,-92.06,-9.52,-1.04,1.36,-2.75,5.44,1.37,27.87,30.56,-39.69,-9.82,0.20,0.18,-2.06,2.19,0.25,39.25,26.37,-50.50,stairascent
121.84,-9.77,-0.98,1.22,-3.31,7.69,2.31,27.87,30.56,-39.69,-5.32,0.52,8.31,-0.19,0.00,0.19,7.25,-31.00,-91.06,-9.78,-0.97,1.18,-4.44,7.69,2.81,27.87,30.56,-39.69,-9.71,0.02,0.31,-2.19,4.00,0.50,39.25,26.37,-50.50,stairascent
121.87,-9.68,-0.89,0.87,-7.50,6.25,3.00,27.87,29.75,-40.06,-5.22,0.60,8.28,0.56,-0.81,0.88,7.25,-31.00,-91.06,-9.65,-0.89,0.81,-9.25,5.31,2.62,27.87,29.75,-40.06,-9.81,0.11,0.59,-2.62,5.69,-0.62,40.06,26.37,-49.38,stairascent
121.90,-9.59,-0.92,0.89,-12.13,3.69,2.62,27.87,29.75,-40.06,-5.21,0.61,8.23,-0.31,0.06,-0.06,5.37,-28.69,-91.06,-9.60,-1.02,1.03,-12.50,3.19,2.69,27.87,29.75,-40.06,-9.75,-0.16,0.59,-6.12,5.31,-0.13,39.00,25.00,-48.56,stairascent
121.93,-9.60,-1.03,1.02,-12.50,2.62,2.69,27.87,30.56,-39.00,-5.20,0.54,8.19,-1.25,0.44,-0.56,5.37,-28.69,-91.06,-9.49,-1.03,0.90,-12.38,2.06,2.69,27.87,30.56,-39.00,-9.81,-0.24,0.56,-6.25,4.44,-0.81,39.00,25.00,-48.56,stairascent
121.96,-9.47,-0.97,0.87,-11.94,1.19,2.37,27.87,30.56,-39.00,-5.17,0.61,8.26,-2.00,0.75,-1.00,6.06,-29.50,-90.69,-9.51,-0.99,0.92,-12.50,1.44,2.25,28.69,30.87,-37.69,-9.76,-0.18,0.38,-5.50,2.94,-1.62,39.69,26.06,-48.56,stairascent
121.99,-9.64,-1.03,0.86,-15.00,1.50,2.19,28.69,30.87,-37.69,-5.30,0.48,8.29,-1.75,0.25,-0.75,5.75,-29.75,-92.06,-9.64,-1.03,0.78,-15.88,0.50,1.81,28.69,30.87,-37.69,-9.77,-0.11,0.44,-5.87,2.37,-1.81,39.69,26.06,-48.56,stairascent
122.02,-9.58,-1.15,0.64,-16.06,-1.44,0.88,27.87,31.69,-37.69,-5.17,0.59,8.23,-1.75,0.37,-0.88,5.75,-29.75,-92.06,-9.54,-1.20,0.70,-15.88,-2.06,0.31,27.87,31.69,-37.69,-9.72,-0.38,0.53,-8.63,0.19,-1.75,39.69,25.69,-48.19,stairascent
