Timestamp(s),foot_Accel_X,foot_Accel_Y,foot_Accel_Z,foot_Gyro_X,foot_Gyro_Y,foot_Gyro_Z,shank_Accel_X,shank_Accel_Y,shank_Accel_Z,shank_Gyro_X,shank_Gyro_Y,shank_Gyro_Z,Label
233.14,-4.83,1.4,8.31,-2.81,-2.25,-0.19,-9.36,0.35,1.77,-4,30,-9,rampascent
233.15,-4.92,1.21,8.37,-2.56,-2.06,-0.31,-9.55,0.14,1.12,-3.69,30.06,-8.75,rampascent
233.16,-4.99,1.12,8.39,-2.37,-2.06,0,-9.69,0.13,1.09,-1.06,30.44,-8.81,rampascent
233.18,-4.7,1.53,8.25,-1.81,-2.87,0.19,-9.54,0.45,1.52,7,31.94,-10.69,rampascent
233.19,-4.79,1.52,8.3,-1.75,-1.31,-0.25,-9.54,0.54,1.32,6.19,30.06,-10.69,rampascent
233.21,-4.91,1.21,8.34,-2.56,-0.56,-0.94,-9.66,0.01,0.73,2.69,29.69,-10.19,rampascent
233.22,-4.91,1.16,8.31,-2.94,-1,-0.88,-9.58,-0.13,0.79,0.56,29.12,-10.25,rampascent
233.24,-4.8,1.17,8.39,-2.56,-2.12,-0.5,-9.69,-0.12,0.78,6,29,-10.88,rampascent
233.25,-4.96,1.22,8.45,-1.81,-1.87,-0.37,-9.55,0.03,0.76,8.31,28.44,-10.56,rampascent
233.27,-4.96,1.41,8.33,0.06,-2.62,0.56,-9.58,0.46,0.75,9.94,26.87,-11.13,rampascent
233.28,-4.86,1.62,8.31,0.13,-3.44,0.75,-9.69,0.36,0.88,7.81,27.87,-11.69,rampascent
233.3,-4.8,1.28,8.37,-1.12,-3.37,0,-9.5,-0.06,0.81,5,27.75,-11.31,rampascent
233.32,-4.78,1.35,8.32,-1.37,-3.37,-0.13,-9.45,0.04,0.96,7.62,28.75,-12.13,rampascent
233.33,-4.72,1.46,8.31,-1.94,-2.37,-0.88,-9.57,0.48,0.62,11.19,31.19,-12.94,rampascent
233.35,-4.76,1.33,8.32,-2.37,-1.06,-1,-9.6,0.18,0.52,-3.37,30.81,-11.25,rampascent
233.36,-4.86,1.27,8.3,-3,0,-0.69,-9.63,-0.1,0.14,-5.44,30.31,-11.31,rampascent
233.37,-4.85,1.35,8.27,-2.37,0.19,-0.5,-9.56,0.02,0.19,-3.44,29.81,-11.81,rampascent
233.39,-4.89,1.43,8.3,-2.19,0.31,-0.37,-9.69,-0.02,0.17,0.56,28.94,-12.56,rampascent
233.41,-4.78,1.25,8.35,-2.81,0.06,-0.44,-9.88,-0.34,-0.03,-5.25,26.44,-11.38,rampascent
233.42,-4.77,1.17,8.38,-2.44,0.06,-0.5,-10.03,-0.48,-0.18,-5.87,25.94,-10.94,rampascent
233.44,-4.66,1.2,8.49,-2.06,1.62,-1.25,-9.77,-0.29,-0.42,0.81,24.25,-11.19,rampascent
233.45,-4.81,1.27,8.32,-1.19,-0.31,-1.37,-9.77,-0.26,-0.34,2.87,23.19,-10.94,rampascent
233.46,-4.71,1.29,8.38,-1.12,-0.25,-1.19,-9.88,-0.26,-0.1,2.06,19.69,-10.5,rampascent
233.48,-5,1.26,8.14,-1.25,1.44,-1.69,-9.79,-0.2,-0.32,-0.31,17.19,-10,rampascent
233.49,-4.85,1.29,8.29,-2.06,3.56,-1.75,-9.75,-0.23,-0.31,-1.25,15.63,-9,rampascent
233.51,-4.72,1.3,8.37,-1.5,1.44,-1.69,-9.88,-0.44,-0.24,-1.81,14.69,-8.13,rampascent
233.52,-4.74,1.15,8.67,-1.62,2.12,-2.06,-9.77,-0.48,-0.36,-1.94,13.88,-7.44,rampascent
233.54,-4.88,1.2,8.34,-1.19,3.31,-1.69,-9.86,-0.27,-0.38,0.62,12.63,-7.19,rampascent
233.56,-4.86,1.39,8.36,-0.81,2,-1.5,-9.91,-0.11,-0.38,2.87,11.81,-7.19,rampascent
233.57,-4.76,1.39,8.56,-0.62,2.25,-2.62,-9.75,-0.38,-0.18,2.62,10.75,-7.31,rampascent
233.59,-4.95,1.28,8.23,-1.5,4.62,-2.56,-9.73,-0.39,-0.28,2.44,10.5,-7.12,rampascent
233.61,-4.9,1.19,8.28,-0.5,1.12,-2.5,-9.59,-0.45,-0.19,0.25,10.81,-6.37,rampascent
233.62,-4.83,1.19,8.38,-1.19,1.25,-1.94,-9.68,-0.63,-0.26,-5.75,11.31,-4.37,rampascent
233.63,-4.88,1.12,8.35,-1.69,3.19,-1.75,-9.8,-0.7,-0.44,-7.12,10.94,-3.44,rampascent
233.65,-4.89,1.29,8.3,-0.19,1.62,-1.37,-9.86,-0.49,-0.62,-0.62,10.88,-3.5,rampascent
233.66,-4.86,1.25,8.24,-0.25,1.75,-1.56,-9.85,-0.41,-0.5,2,9.81,-3.37,rampascent
233.68,-5.01,1.36,8.18,-0.25,5.31,-2.62,-9.81,-0.42,-0.87,1.12,6.44,-2.56,rampascent
233.69,-4.97,1.22,8.31,0.62,4.56,-3.31,-9.81,-0.67,-1.01,2.75,3.31,-2.44,rampascent
233.71,-5.03,1.04,8.31,0.19,4.25,-2.87,-9.92,-0.65,-0.8,5.56,1.94,-2.87,rampascent
233.73,-4.99,1.18,8.4,0.75,3.37,-2,-9.77,-0.59,-0.72,6.62,0.94,-2.94,rampascent
233.74,-4.97,1.16,8.39,1.31,2.19,-1.31,-9.81,-0.64,-0.6,7.37,-0.88,-2.5,rampascent
233.76,-5,1.18,8.33,1.81,1.87,-0.81,-9.76,-0.46,-0.57,8.25,-1.06,-2.69,rampascent
233.77,-4.92,1.36,8.32,1.69,1.75,-0.5,-9.66,-0.14,-0.29,5.94,-0.81,-2.87,rampascent
233.79,-5,1.37,8.2,1.44,1.75,-0.62,-9.52,-0.22,-0.36,1.81,-0.75,-2.75,rampascent
233.8,-4.99,1.25,8.28,0.19,1.31,-0.75,-9.49,-0.49,-0.28,-2.69,0.62,-2.94,rampascent
233.82,-4.96,1.23,8.3,-0.31,0.69,-0.75,-9.71,-0.47,-0.33,-1.44,2.31,-3.12,rampascent
233.84,-4.96,1.28,8.29,-0.37,0.37,-0.44,-9.62,-0.45,-0.43,-1.37,2.94,-3.19,rampascent
233.85,-5.02,1.27,8.28,-0.56,0.37,-0.25,-9.57,-0.36,-0.34,-1.06,4.44,-3.94,rampascent
233.87,-4.94,1.35,8.22,-0.94,0.25,-0.56,-9.67,-0.31,-0.25,-1.5,5.37,-3.75,rampascent
233.88,-4.83,1.45,8.29,-1.19,0.19,-0.75,-9.82,-0.32,-0.1,-4.37,6.5,-3.56,rampascent
233.9,-4.83,1.45,8.35,-1.31,1,-1.37,-9.81,-0.44,-0.39,-7.25,7,-3.12,rampascent
233.91,-5.04,1.15,8.21,-2.19,6.12,-2.12,-9.62,-0.81,-0.6,-9.75,7.81,-3,rampascent
