Timestamp(s),foot_Accel_X,foot_Accel_Y,foot_Accel_Z,foot_Gyro_X,foot_Gyro_Y,foot_Gyro_Z,shank_Accel_X,shank_Accel_Y,shank_Accel_Z,shank_Gyro_X,shank_Gyro_Y,shank_Gyro_Z,Label
98.31,-4.7,1.44,8.25,-1.94,0,-0.56,-9.59,0.72,1.9,2.31,19.25,-8.5,rampascent
98.33,-4.88,1.56,8.27,-2.62,0.62,-0.94,-9.44,0.54,1.68,-3.5,19.75,-8.69,rampascent
98.34,-4.9,1.5,8.28,-3,1.19,-1.37,-9.45,0.38,1.52,-4.44,19.81,-9.25,rampascent
98.36,-4.93,1.3,8.35,-3,0.81,-1.56,-9.48,0.3,1.4,-3.62,20.31,-9.56,rampascent
98.37,-5.02,1.24,8.36,-2.56,-0.31,-1.06,-9.5,0.41,1.17,-5.25,20.19,-9.69,rampascent
98.39,-5.22,1.28,8.36,-2.5,-1.87,-0.44,-9.26,0.32,0.85,-9.19,20.12,-10,rampascent
98.4,-5.14,1.33,8.41,-1.87,-7.75,0.88,-9.39,0.2,0.84,-8.38,20.69,-10.06,rampascent
98.42,-5.01,1.3,8.33,-2.25,-9.56,1.31,-9.66,-0.06,1.47,-1.75,23,-11.5,rampascent
98.43,-4.47,1.37,8.36,-2.56,-8.06,0.56,-9.7,-0.1,1.78,0.88,23.06,-11.25,rampascent
98.45,-4.66,1.33,8.36,-2.31,-5.56,-0.06,-9.49,0.15,1.43,3.75,23,-10.75,rampascent
98.47,-4.73,1.29,8.36,-2.56,-3.75,-0.19,-9.55,0.01,1.36,-1.69,25.5,-9.81,rampascent
98.48,-4.74,1.25,8.32,-2.87,-2.87,-0.62,-9.46,-0.13,1.2,1,26.31,-9.06,rampascent
98.5,-4.73,1.14,8.33,-2.62,-2.56,-0.44,-9.51,-0.3,0.78,6.12,26.37,-9.31,rampascent
98.52,-4.8,1.11,8.4,-1.25,-2.56,-0.25,-9.61,-0.07,0.84,12.94,25.75,-10,rampascent
98.53,-4.67,1.36,8.37,-0.31,-2.31,0.13,-9.63,0.03,0.85,14.63,25.56,-10.5,rampascent
98.55,-4.69,1.37,8.29,-0.56,-1.12,-0.06,-9.57,0.1,0.62,10.88,23.37,-9.56,rampascent
98.56,-4.76,1.36,8.34,-1.25,0.56,0.13,-9.67,-0.06,0.56,9.94,22.62,-9.44,rampascent
98.58,-4.87,1.3,8.4,-1.06,0.81,0.19,-9.81,-0.06,0.43,5.06,19.19,-7.94,rampascent
98.59,-4.69,1.42,8.37,1.37,-1.31,1,-9.66,-0.23,0.57,5,18.94,-8.25,rampascent
98.61,-4.67,1.46,8.33,1.12,-0.75,0.69,-9.88,0.02,0.49,5.12,17.69,-7.94,rampascent
98.62,-4.75,1.43,8.32,1.44,-0.94,0.94,-9.79,0.03,0.29,2.19,16.56,-7.37,rampascent
98.64,-4.79,1.37,8.34,0.94,-1.06,0.69,-9.72,-0.02,0.37,0.37,16.44,-7.81,rampascent
98.65,-4.67,1.42,8.26,-0.13,-0.56,0.37,-9.76,-0.14,0.45,-0.19,16.69,-7.75,rampascent
98.67,-4.66,1.32,8.37,-0.75,0.44,-0.13,-9.68,-0.29,0.43,0.5,16.75,-7.75,rampascent
98.68,-4.83,1.38,8.34,-0.75,0.62,-0.44,-9.64,-0.22,0.38,4.19,17.25,-8.25,rampascent
98.7,-4.67,1.25,8.39,-1.06,0.69,-0.94,-9.84,-0.4,0.29,4.5,17.37,-8.13,rampascent
98.72,-4.72,1.27,8.38,-0.88,1.19,-1.25,-9.78,-0.44,0.04,4.37,16.12,-7.81,rampascent
98.73,-4.87,1.41,8.33,0.13,0.94,-1.12,-9.7,-0.32,-0.01,6.06,15.5,-7.87,rampascent
98.75,-4.78,1.36,8.36,-0.37,0.81,-0.94,-9.86,-0.2,-0.02,6.19,14.44,-7.69,rampascent
98.77,-4.78,1.38,8.35,-0.62,0.75,-0.94,-9.84,-0.26,0,5,13.75,-7.69,rampascent
98.78,-4.82,1.35,8.38,-0.56,0.25,-0.81,-9.74,-0.35,-0.08,3.31,11.88,-7.25,rampascent
98.79,-4.81,1.25,8.37,-0.56,0.13,-0.81,-9.79,-0.45,-0.19,2.25,10.56,-6.75,rampascent
98.81,-4.74,1.27,8.4,-0.25,0.37,-0.44,-9.87,-0.6,-0.02,3.12,9.25,-6.19,rampascent
98.83,-4.77,1.41,8.37,-0.13,0.62,-0.31,-9.87,-0.38,0,5.94,8.88,-6.5,rampascent
98.84,-4.79,1.33,8.36,-0.56,1,-0.31,-9.71,-0.22,-0.03,3.44,7.81,-5.94,rampascent
98.86,-4.82,1.41,8.28,-1,0.62,-0.37,-9.7,-0.22,0.04,0.69,7.69,-6,rampascent
98.87,-4.93,1.25,8.41,-0.88,0,-0.69,-9.72,-0.29,-0.01,-1.44,6.69,-5.81,rampascent
98.89,-4.91,1.23,8.38,-0.31,-1,-0.31,-9.65,-0.54,0,-2.81,6.06,-4.94,rampascent
98.9,-4.74,1.28,8.39,-0.25,-0.88,-0.25,-9.83,-0.56,-0.06,-1.69,6.5,-4.56,rampascent
98.92,-4.74,1.24,8.38,-0.25,-0.5,-0.25,-9.83,-0.74,-0.22,-1.12,6.31,-4,rampascent
98.93,-4.81,1.34,8.35,0.06,0.13,-0.19,-9.83,-0.56,-0.24,1.56,5.87,-3.94,rampascent
98.95,-4.79,1.35,8.3,-0.31,0.37,-0.5,-9.83,-0.27,-0.13,2.81,5,-3.81,rampascent
98.97,-4.79,1.32,8.36,-0.75,0.94,-0.94,-9.81,-0.32,-0.23,1.19,4.19,-3.25,rampascent
98.98,-4.82,1.33,8.39,-0.94,1.5,-1.06,-9.79,-0.6,-0.39,-2.19,2.31,-2.87,rampascent
98.99,-4.86,1.25,8.39,-0.75,1.44,-0.62,-9.76,-0.62,-0.37,-1.25,1.5,-3.12,rampascent
99.01,-4.84,1.22,8.35,-0.81,1.19,-0.31,-9.82,-0.66,-0.15,2.06,1.12,-3.62,rampascent
99.03,-4.78,1.31,8.44,-0.62,1.5,0.13,-9.87,-0.51,-0.06,2.62,0.88,-3.75,rampascent
99.04,-4.82,1.31,8.4,-0.44,1.87,-0.19,-9.67,-0.43,-0.16,1.81,0.25,-3.44,rampascent
99.05,-4.9,1.28,8.32,-0.19,1.06,0,-9.65,-0.43,-0.18,1.69,-0.19,-3.25,rampascent
99.07,-4.88,1.3,8.33,-0.31,0.44,0,-9.63,-0.49,-0.03,1.75,0.19,-3.25,rampascent
99.08,-4.81,1.27,8.37,-0.44,0.31,0.06,-9.7,-0.49,0.01,2,0.62,-3.31,rampascent
99.1,-4.82,1.29,8.37,-0.44,0.25,0,-9.71,-0.59,-0.14,0.88,0.62,-2.75,rampascent
99.11,-4.83,1.2,8.39,0.13,0.06,0.06,-9.79,-0.68,-0.22,1.44,0.5,-2.5,rampascent
99.13,-4.81,1.3,8.35,0.44,0.31,0.19,-9.72,-0.37,-0.06,4.62,0.94,-2.75,rampascent
99.14,-4.87,1.38,8.34,0.31,0.06,0.06,-9.7,-0.33,-0.07,4.37,0.81,-2.69,rampascent
99.16,-4.87,1.34,8.34,-0.31,0.06,-0.25,-9.57,-0.48,-0.12,1.56,0.5,-2.75,rampascent
99.18,-4.85,1.26,8.35,-0.37,-0.31,-0.25,-9.72,-0.6,-0.09,-0.13,0.5,-2.69,rampascent
99.19,-4.83,1.29,8.36,-0.44,-0.62,-0.13,-9.78,-0.78,-0.16,-0.88,1.19,-2.25,rampascent
99.21,-4.85,1.21,8.35,0.06,-0.31,0.13,-9.71,-0.72,-0.25,-0.44,1.37,-2,rampascent
99.22,-4.82,1.26,8.37,0.88,-0.25,0.25,-9.76,-0.53,-0.28,2.94,0.5,-2,rampascent
99.24,-4.85,1.3,8.4,1.19,-0.5,0.13,-9.8,-0.54,-0.26,3.37,-1.56,-1.62,rampascent
99.25,-4.84,1.37,8.32,1.56,-0.81,0.31,-9.74,-0.48,-0.05,3.19,-1.75,-1.81,rampascent
99.27,-4.81,1.42,8.32,1.25,-0.94,0.31,-9.66,-0.42,0.03,1.56,-0.31,-2.62,rampascent
99.28,-4.79,1.35,8.33,-0.06,-1,0.19,-9.64,-0.53,0.03,0.19,0.81,-2.75,rampascent
99.3,-4.81,1.31,8.31,-0.5,-1.12,0.13,-9.66,-0.56,0.11,-0.62,3.06,-2.94,rampascent
99.32,-4.78,1.36,8.35,-0.88,-0.81,0.19,-9.65,-0.49,0.05,0.19,4.31,-3.31,rampascent
99.33,-4.83,1.32,8.36,-0.81,-0.69,-0.06,-9.62,-0.51,-0.05,-1.44,5.69,-3.19,rampascent
99.35,-4.9,1.25,8.41,-0.75,-0.88,-0.13,-9.65,-0.5,-0.09,-2.19,6,-3.31,rampascent
99.36,-4.81,1.36,8.33,-0.5,-1.5,0.06,-9.64,-0.46,-0.01,-3.5,6.06,-3.31,rampascent
99.38,-4.8,1.4,8.31,-1.31,-1.69,0.06,-9.68,-0.6,0.05,-3.69,7.06,-3.62,rampascent
99.39,-4.76,1.3,8.41,-1.62,-1.62,-0.06,-9.67,-0.66,-0.02,-5.87,8.88,-3.56,rampascent
99.4,-4.76,1.29,8.37,-1.69,-0.62,-0.62,-9.74,-0.78,-0.22,-6,9.63,-3.44,rampascent
99.42,-4.79,1.22,8.39,-1.37,-0.37,-0.75,-9.77,-0.84,-0.59,-5.81,9.06,-2.94,rampascent
99.44,-4.8,1.22,8.36,-0.94,-0.25,-0.44,-9.84,-0.9,-0.5,-1.94,8.5,-2.62,rampascent
99.46,-4.8,1.29,8.35,-0.44,-0.19,-0.19,-9.87,-0.62,-0.49,-0.13,7.75,-2.5,rampascent
99.47,-4.89,1.25,8.37,-0.31,-0.13,-0.25,-9.75,-0.64,-0.56,-1.06,3.81,-2.31,rampascent
99.49,-4.82,1.3,8.4,-0.37,-0.56,-0.06,-9.8,-0.82,-0.53,-1.06,3.81,-2.31,rampascent
99.5,-4.76,1.2,8.38,-0.31,-0.62,-0.13,-9.8,-0.94,-0.47,0.31,2.62,-1.81,rampascent
99.52,-4.69,1.27,8.38,-0.13,-0.31,0.06,-9.8,-0.83,-0.3,0.69,2.75,-1.25,rampascent
99.53,-4.76,1.3,8.38,0,0.25,-0.25,-9.72,-0.77,-0.39,1,2.62,-1.06,rampascent
99.55,-4.81,1.33,8.37,0.13,0.75,-0.25,-9.73,-0.67,-0.42,1.75,2.31,-1.12,rampascent
99.57,-4.83,1.32,8.37,-0.13,0.75,-0.37,-9.69,-0.67,-0.36,1.81,1.94,-1.44,rampascent
