Timestamp(s),foot_Accel_X,foot_Accel_Y,foot_Accel_Z,foot_Gyro_X,foot_Gyro_Y,foot_Gyro_Z,shank_Accel_X,shank_Accel_Y,shank_Accel_Z,shank_Gyro_X,shank_Gyro_Y,shank_Gyro_Z,Label
264.22,-5.41,1.27,7.97,-1.06,-0.13,0.25,-9.49,0.34,1.72,0.5,25.44,-5.81,rampdescent
264.23,-5.45,1.11,8.02,-1.44,0,0,-9.52,0.34,1.49,1.87,25.44,-6.5,rampdescent
264.25,-5.46,1.14,8.01,-1.19,0.13,0.06,-9.55,0.24,1.46,2.56,25.62,-7.25,rampdescent
264.26,-5.49,0.99,8.13,-1.31,0.06,0.06,-9.44,0.24,1.41,2.75,25.5,-7.56,rampdescent
264.28,-5.37,1.26,8.04,-0.88,-0.25,0.62,-9.64,0.37,1.39,2.62,25.81,-7.94,rampdescent
264.3,-5.41,1.18,8.02,-0.94,-0.37,0.37,-9.5,0.24,1.36,0.44,25.19,-7.94,rampdescent
264.31,-5.43,1.22,8.01,-1.37,-0.06,0,-9.49,0.18,1.21,2.12,24.75,-8.69,rampdescent
264.32,-5.42,1.14,8.04,-1.69,0,0.06,-9.7,0.21,1.04,2.75,24.56,-8.75,rampdescent
264.34,-5.41,1.13,8.03,-1.56,0.25,0.06,-9.77,0.2,1.09,3.94,24.25,-9.25,rampdescent
264.36,-5.44,1.1,8.05,-1.5,0.44,-0.19,-9.57,0.06,0.82,5.5,23.31,-9.69,rampdescent
264.37,-5.55,1.07,8.05,-1.94,1.25,-0.31,-9.55,0.1,0.66,6.75,21.19,-10.31,rampdescent
264.39,-5.58,0.98,8.13,-0.88,-0.37,0.5,-9.55,0.1,0.82,5.62,20.56,-10.75,rampdescent
264.4,-5.52,1.1,8.11,0.06,-2.56,2,-9.71,0.12,0.75,-0.31,20.25,-10.13,rampdescent
264.42,-5.48,1.13,8.12,0.13,-2.81,2.31,-9.69,-0.09,0.81,0.94,20.31,-10.75,rampdescent
264.43,-5.48,1.03,8.11,0.44,-3.75,2.69,-9.51,-0.03,0.85,5.44,20.44,-11.25,rampdescent
264.45,-5.38,1.14,8.09,1.62,-4.19,3.44,-9.83,0.07,0.82,5.69,21.25,-11.19,rampdescent
264.47,-5.33,1.07,8.04,1.62,-4.37,3.31,-9.73,-0.15,0.64,4.75,20.56,-11.06,rampdescent
264.48,-5.32,1.22,8,1.5,-3.12,2.87,-9.57,-0.13,0.66,6.62,20.5,-11.44,rampdescent
264.5,-5.35,1.25,8.04,1.37,-2.94,2.56,-9.68,0.36,0.72,7.25,18.94,-12,rampdescent
264.52,-5.33,1.42,7.99,1.31,-2.56,2.25,-9.65,0.34,0.62,1.37,18.37,-11.5,rampdescent
264.53,-5.28,1.34,7.97,-0.69,-2.69,1.44,-9.63,0.16,0.61,-3.62,18.25,-11.81,rampdescent
264.55,-5.31,1.31,8,-1.19,-2.37,0.75,-9.71,-0.19,0.65,-1,19.25,-12.69,rampdescent
264.56,-5.27,1.38,8.04,-1.87,-2.19,0.31,-9.63,-0.19,0.6,1.94,19.56,-13.31,rampdescent
264.57,-5.3,1.12,8.07,-2.44,-1.25,-0.62,-9.76,-0.41,0.23,0,18,-12.63,rampdescent
264.59,-5.33,1,8.11,-2.62,-1,-0.56,-9.68,-0.5,0.22,-1.81,17.37,-12.44,rampdescent
264.61,-5.37,1.19,8.08,-2.31,-0.81,-0.37,-9.64,0,0.46,1.5,17.62,-12.88,rampdescent
264.62,-5.38,1.27,8.04,-2.37,-0.94,-0.44,-9.55,0.02,0.56,-3.44,18.5,-12.44,rampdescent
264.64,-5.35,1.32,8.02,-3.44,-0.75,-0.75,-9.46,-0.09,0.64,-6.12,19.31,-12.19,rampdescent
264.65,-5.32,1.27,8.08,-4.94,-0.94,-1.75,-9.6,-0.34,0.41,-11.44,20.62,-10.38,rampdescent
264.67,-5.29,0.91,8.16,-4.81,-0.69,-1.75,-9.68,-0.94,0.13,-11.5,21.31,-9.88,rampdescent
264.68,-5.31,0.84,8.22,-3.31,-0.5,-1.31,-9.83,-0.76,-0.05,0.37,22.37,-10.44,rampdescent
264.7,-5.36,1.11,8.1,-1.87,0.13,-0.81,-9.81,-0.53,-0.07,5.06,22.31,-10.5,rampdescent
264.71,-5.37,1.18,8.05,-1.44,0.25,-1,-9.69,-0.16,-0.16,4,20.75,-9.94,rampdescent
264.73,-5.38,1.21,8.02,-2,-0.31,-0.75,-9.7,-0.32,-0.15,-0.25,20,-9.06,rampdescent
264.74,-5.31,1.06,8.14,-3.19,-0.44,-1.25,-9.69,-0.85,-0.09,-6.37,19.37,-7.81,rampdescent
264.76,-5.29,1.02,8.13,-3.06,-0.5,-1.25,-9.74,-0.79,-0.23,-5.44,19.19,-7.25,rampdescent
264.77,-5.38,0.92,8.15,-2.37,0.13,-1.31,-9.88,-0.73,-0.5,-4,17.87,-5.75,rampdescent
