Timestamp(s),foot_Accel_X,foot_Accel_Y,foot_Accel_Z,foot_Gyro_X,foot_Gyro_Y,foot_Gyro_Z,shank_Accel_X,shank_Accel_Y,shank_Accel_Z,shank_Gyro_X,shank_Gyro_Y,shank_Gyro_Z,Label
273.25,-5.01,1.69,8.37,1.87,-2.19,2.62,-9.08,1.69,2.72,-1.75,10.94,-4,stairascent
273.26,-4.94,1.73,8.34,2.31,-2.5,3.25,-9.22,1.82,2.55,2.06,13.06,-4.75,stairascent
273.27,-4.88,1.79,8.37,2.75,-2.87,3.75,-9.34,1.98,2.68,2.94,13.63,-5.37,stairascent
273.29,-4.72,2.12,8.22,3.5,-2.31,3.62,-9.28,2.1,2.68,2.06,14.69,-5.75,stairascent
273.31,-4.78,2.05,8.3,3,-1.62,2.87,-9.19,2.22,2.66,1.31,14.5,-6.25,stairascent
273.32,-4.86,2.1,8.25,1.87,-1.12,2.19,-9.26,2.01,2.24,-2.44,16.37,-6.19,stairascent
273.34,-4.92,1.94,8.37,0.75,-1.75,1.87,-9.36,1.86,2.23,-1.62,16.56,-7.12,stairascent
273.36,-4.91,1.98,8.37,0.75,-2.19,1.94,-9.54,1.87,1.93,-2.44,16.06,-6.56,stairascent
273.37,-4.92,1.77,8.4,0.88,-3.56,2.12,-9.45,1.6,1.88,-5.56,14.06,-6.62,stairascent
273.39,-4.87,1.84,8.38,1.12,-4.44,2.56,-9.64,1.66,1.99,-5.37,13.19,-6.19,stairascent
273.4,-4.92,1.59,8.47,2,-4.75,2.87,-9.5,1.46,2.01,-3.56,11.75,-6.31,stairascent
273.41,-4.79,1.85,8.39,3,-5.5,3.69,-9.49,1.61,2.24,-1.5,11.75,-7.19,stairascent
273.43,-4.67,2.18,8.26,3.44,-4.87,3,-9.35,2.02,1.99,0,10.19,-5.94,stairascent
273.45,-4.75,2.03,8.29,1.94,-3.87,2,-9.41,2.02,1.94,-2.75,10,-5.81,stairascent
273.46,-4.99,1.81,8.49,1.31,-3.69,2.06,-9.39,1.6,1.71,-5.62,8.88,-5.69,stairascent
273.48,-4.85,2.2,8.39,3.37,-5.5,3.5,-9.56,1.52,2.25,-1.94,9.06,-6.75,stairascent
273.5,-4.68,1.96,8.38,3.25,-5.62,3.62,-9.34,1.74,2.31,0.37,9.06,-7,stairascent
273.51,-4.57,2.13,8.31,3.56,-5.06,3.12,-9.41,1.75,2.38,1.25,10.5,-7.75,stairascent
273.53,-4.8,1.94,8.49,3.44,-4,2.75,-9.12,1.78,2.11,2.06,11.38,-7.75,stairascent
273.55,-4.56,2,8.28,4.5,-4.81,3.31,-9.32,1.68,2.31,1.25,14.31,-9.25,stairascent
273.56,-4.44,2.26,8.2,2.19,-2.37,1.44,-9.3,1.86,2.26,1.31,14,-8.44,stairascent
273.58,-4.65,2.17,8.25,0.88,-0.69,0,-9.47,1.65,1.74,-1.25,13.5,-8.19,stairascent
