Timestamp(s),foot_Accel_X,foot_Accel_Y,foot_Accel_Z,foot_Gyro_X,foot_Gyro_Y,foot_Gyro_Z,shank_Accel_X,shank_Accel_Y,shank_Accel_Z,shank_Gyro_X,shank_Gyro_Y,shank_Gyro_Z,Label
260.25,-5.23,0.64,8.25,0.13,0.44,0.19,-9.72,-0.99,-0.9,0.75,2.56,0.69,stairascent
260.27,-5.24,0.65,8.26,0.06,0.13,0.06,-9.75,-0.95,-0.9,0.44,2.75,0.62,stairascent
260.28,-5.21,0.69,8.32,-0.06,0.37,0.25,-9.78,-0.94,-0.95,-0.37,3.31,0.62,stairascent
260.3,-5.24,0.67,8.28,-0.19,0.25,0.13,-9.74,-1.02,-0.98,-0.94,3.25,0.56,stairascent
260.31,-5.24,0.61,8.28,-0.25,0.06,0.06,-9.76,-1.03,-1.04,-0.37,2.94,0.31,stairascent
260.33,-5.2,0.61,8.27,0.06,-0.37,0.56,-9.78,-1.03,-0.98,-0.31,2.94,0.25,stairascent
260.35,-5.21,0.65,8.3,0,-0.31,0.31,-9.81,-0.92,-0.94,-0.19,2.62,0.19,stairascent
260.36,-5.22,0.69,8.29,-0.25,-0.25,0.31,-9.81,-0.92,-0.98,-0.5,2.75,0.31,stairascent
260.38,-5.21,0.68,8.3,-0.37,0,0.25,-9.81,-0.98,-1.07,-1.25,2.56,0.19,stairascent
260.39,-5.21,0.62,8.25,-0.31,-0.19,0.44,-9.84,-1.1,-1.06,-1.62,2.25,0.5,stairascent
260.41,-5.19,0.63,8.32,-0.19,0,0.37,-9.86,-1.06,-1.06,-1.75,1.44,0.81,stairascent
260.42,-5.21,0.62,8.29,0.06,0.44,0.19,-9.84,-1.08,-1.14,-2.06,0.06,1.69,stairascent
260.44,-5.24,0.63,8.29,0.37,0.44,0.56,-9.84,-1.04,-1.2,-1.81,-0.62,1.81,stairascent
260.46,-5.28,0.61,8.24,0.5,0.19,0.69,-9.82,-1.01,-1.11,-1,-2.56,2.06,stairascent
260.47,-5.22,0.65,8.3,0.69,-0.25,0.69,-9.81,-0.92,-1.03,-0.13,-2.94,1.94,stairascent
260.49,-5.23,0.7,8.29,0.62,-0.69,0.69,-9.78,-0.89,-0.94,-0.31,-3.94,1.69,stairascent
260.5,-5.24,0.68,8.24,0.56,-0.75,0.69,-9.73,-0.89,-0.89,-0.19,-3.94,1.56,stairascent
260.52,-5.19,0.68,8.27,0.31,-0.81,0.56,-9.71,-0.85,-0.75,0.44,-3.25,1.06,stairascent
260.53,-5.19,0.68,8.29,0.19,-0.94,0.62,-9.69,-0.98,-0.68,-0.31,-1.56,0.81,stairascent
260.55,-5.18,0.63,8.32,-0.06,-0.44,0.37,-9.72,-0.95,-0.67,-0.5,-0.62,0.75,stairascent
260.57,-5.2,0.61,8.32,-0.13,-0.5,0.44,-9.67,-0.89,-0.68,-0.81,1.81,0.44,stairascent
260.58,-5.22,0.69,8.24,-0.25,-0.37,0.25,-9.71,-0.84,-0.78,-0.75,2.62,0.37,stairascent
260.6,-5.19,0.65,8.25,-0.37,-0.31,0.19,-9.77,-1,-0.96,-1.5,3.75,0,stairascent
260.61,-5.21,0.63,8.3,-0.31,-0.44,0.37,-9.79,-0.95,-1.04,-0.56,3.94,0,stairascent
260.63,-5.21,0.62,8.29,-0.37,-0.56,0.31,-9.81,-0.97,-1.05,-0.25,3.31,0.13,stairascent
260.64,-5.2,0.66,8.29,-0.37,-0.5,0.25,-9.85,-0.98,-1.02,-0.31,2.87,0.13,stairascent
260.66,-5.21,0.69,8.31,-0.31,-0.31,0.25,-9.89,-0.89,-1.1,-0.31,2,0.13,stairascent
260.67,-5.23,0.67,8.32,-0.19,-0.06,0.44,-9.83,-1.02,-1.18,-1.31,0.5,0.37,stairascent
260.69,-5.21,0.64,8.29,-0.13,-0.37,0.62,-9.84,-1.03,-1.12,-1.25,-0.13,0.44,stairascent
260.71,-5.19,0.66,8.3,0.06,-0.5,0.56,-9.84,-1.05,-1.15,-0.94,-1.81,0.56,stairascent
260.72,-5.2,0.62,8.32,0.19,-0.69,0.81,-9.84,-1.1,-1.14,-1.37,-2.37,1.25,stairascent
260.74,-5.24,0.55,8.26,0.44,-1.12,1.25,-9.76,-1.1,-1.18,-1.44,-4.25,1.69,stairascent
260.75,-5.25,0.57,8.28,0.81,-1.44,1.44,-9.78,-1.03,-1.16,-0.44,-6,2.19,stairascent
260.77,-5.18,0.69,8.32,0.88,-1.69,1.5,-9.81,-0.86,-0.98,0.31,-6.44,2.12,stairascent
260.78,-5.21,0.73,8.3,0.88,-2,1.56,-9.79,-0.79,-0.92,0.25,-6.81,1.81,stairascent
260.8,-5.18,0.64,8.3,0.69,-2.31,1.56,-9.75,-0.92,-0.87,-0.13,-7.37,1.62,stairascent
260.81,-5.16,0.65,8.32,0.62,-2.37,1.69,-9.73,-0.9,-0.82,0,-7.12,1.37,stairascent
260.83,-5.12,0.66,8.31,0.62,-1.87,1.5,-9.73,-0.88,-0.56,0.37,-6.25,1.31,stairascent
260.84,-5.12,0.66,8.32,0.44,-1.75,1.19,-9.75,-0.89,-0.59,0.31,-5.44,1.06,stairascent
260.86,-5.15,0.66,8.3,0.37,-1.75,1.12,-9.71,-0.95,-0.72,-0.88,-3.87,1.31,stairascent
260.87,-5.15,0.62,8.32,0.44,-1.5,1.19,-9.73,-0.89,-0.69,-0.25,-2.62,1.06,stairascent
260.89,-5.11,0.7,8.31,0.56,-1.69,1.31,-9.78,-0.78,-0.51,0.31,-1.94,1.06,stairascent
260.91,-5.08,0.79,8.35,0.37,-1.37,1.06,-9.8,-0.75,-0.51,-0.13,-0.31,0.69,stairascent
260.92,-5.12,0.69,8.32,0.06,-0.88,0.69,-9.83,-0.89,-0.82,-0.94,0.13,0.62,stairascent
260.94,-5.13,0.65,8.33,-0.19,-0.56,0.5,-9.85,-1.01,-0.85,-1.25,0.56,0.75,stairascent
260.95,-5.13,0.66,8.35,0.13,-0.31,0.44,-9.84,-0.94,-0.84,-0.44,0.06,0.56,stairascent
260.97,-5.12,0.7,8.34,0.31,-0.44,0.69,-9.84,-0.86,-0.95,-0.44,-0.37,0.88,stairascent
260.98,-5.14,0.64,8.3,0.19,-0.31,0.56,-9.83,-0.92,-0.89,-1.19,-0.88,1,stairascent
261,-5.12,0.68,8.35,0.37,-0.62,0.75,-9.81,-0.84,-0.88,-0.25,-1.44,1.12,stairascent
261.01,-5.16,0.69,8.32,0.44,-0.62,0.62,-9.82,-0.88,-0.84,-0.13,-1.81,1.19,stairascent
261.03,-5.14,0.66,8.33,0.5,-0.94,0.94,-9.79,-0.86,-0.76,-0.25,-2.5,1.25,stairascent
261.04,-5.12,0.69,8.3,0.44,-0.69,0.88,-9.81,-0.86,-0.69,-0.25,-2.44,1.31,stairascent
261.06,-5.1,0.74,8.32,0.44,-0.56,0.81,-9.78,-0.83,-0.76,-1,-2.19,1.56,stairascent
261.08,-5.13,0.7,8.33,0.31,-0.31,0.75,-9.78,-0.88,-0.83,-1.06,-2.19,1.37,stairascent
261.09,-5.12,0.66,8.29,0.44,-0.44,0.75,-9.8,-0.89,-0.77,-0.44,-2.12,1.56,stairascent
261.11,-5.11,0.68,8.35,0.37,-0.62,0.88,-9.84,-0.8,-0.69,0.25,-1.81,1.19,stairascent
261.12,-5.12,0.75,8.32,0.19,-0.31,0.56,-9.83,-0.76,-0.7,-0.31,-1.81,1.31,stairascent
261.14,-5.12,0.69,8.3,0.25,-0.31,0.5,-9.8,-0.85,-0.65,0.25,-1.25,1.25,stairascent
261.15,-5.07,0.74,8.33,0.31,-0.06,0.44,-9.81,-0.82,-0.6,0.69,-1,1.19,stairascent
261.17,-5.11,0.73,8.34,0.25,0.19,0.06,-9.83,-0.75,-0.74,0.06,-0.62,1.25,stairascent
261.19,-5.16,0.68,8.33,-0.06,0.31,-0.06,-9.81,-0.78,-0.85,-0.56,-0.75,1.12,stairascent
261.2,-5.18,0.64,8.31,0.06,-0.06,0.13,-9.79,-0.89,-0.88,-0.25,-1.37,1,stairascent
261.22,-5.16,0.67,8.32,0.13,-0.37,0.25,-9.76,-0.9,-0.79,0.75,-1.69,1,stairascent
261.23,-5.11,0.7,8.33,0.13,-0.44,0.44,-9.82,-0.76,-0.72,0.94,-1.56,0.81,stairascent
261.25,-5.11,0.72,8.33,0.25,-0.37,0.56,-9.82,-0.75,-0.73,-0.88,-1.56,1.06,stairascent
261.26,-5.11,0.69,8.36,0.13,-0.56,0.62,-9.82,-0.85,-0.71,-0.62,-1.44,0.94,stairascent
261.28,-5.1,0.69,8.33,0.13,-0.37,0.44,-9.81,-0.79,-0.65,0.25,-1.19,0.81,stairascent
261.3,-5.07,0.73,8.34,0.25,0,0.44,-9.85,-0.74,-0.66,0.56,-1.25,0.69,stairascent
261.31,-5.14,0.77,8.34,0.13,0,0.37,-9.8,-0.79,-0.82,-0.37,-1.31,0.69,stairascent
261.33,-5.11,0.69,8.34,-0.06,-0.25,0.37,-9.78,-0.83,-0.82,-0.06,-1.75,0.5,stairascent
261.34,-5.14,0.7,8.33,-0.06,-0.88,0.62,-9.8,-0.83,-0.76,0.44,-1.87,0.37,stairascent
261.36,-5.11,0.69,8.35,0.06,-0.69,0.62,-9.8,-0.8,-0.65,0.19,-1.62,0.37,stairascent
261.37,-5.12,0.69,8.33,0.13,-0.94,0.62,-9.76,-0.76,-0.65,0.13,-1.62,0.31,stairascent
261.39,-5.16,0.68,8.34,-0.06,-1.12,0.88,-9.75,-0.83,-0.63,-0.5,-0.88,0.37,stairascent
261.41,-5.14,0.7,8.31,-0.06,-1.12,1.12,-9.73,-0.79,-0.61,0.19,-0.19,0.06,stairascent
261.42,-5.12,0.73,8.36,-0.19,-1.25,1.06,-9.81,-0.74,-0.79,-0.19,-0.25,0,stairascent
261.44,-5.12,0.7,8.34,-0.13,-1.81,1.31,-9.79,-0.86,-0.75,-0.94,-0.5,-0.37,stairascent
261.45,-5.11,0.66,8.35,-0.19,-2.37,1.5,-9.8,-0.82,-0.7,-0.19,-0.69,-0.31,stairascent
261.47,-5.04,0.74,8.33,-0.19,-2.25,1.56,-9.86,-0.7,-0.61,0.25,-0.94,-0.5,stairascent
261.49,-5.07,0.79,8.36,-0.25,-2.06,1.5,-9.83,-0.74,-0.67,-0.31,-0.94,-0.25,stairascent
261.5,-5.05,0.7,8.33,-0.31,-2,1.19,-9.81,-0.83,-0.64,-0.81,-1,-0.19,stairascent
261.52,-5.06,0.7,8.37,-0.13,-1.62,1.37,-9.82,-0.76,-0.52,0.06,-0.56,-0.13,stairascent
261.54,-5.03,0.74,8.38,-0.06,-1.62,1.37,-9.82,-0.74,-0.49,0.31,-0.19,-0.06,stairascent
261.55,-5.03,0.75,8.38,-0.13,-1.25,0.94,-9.84,-0.7,-0.62,-0.81,0.25,0,stairascent
261.56,-5.04,0.72,8.34,-0.19,-1.19,0.94,-9.78,-0.85,-0.7,-1.37,0.31,0.19,stairascent
261.58,-4.98,0.78,8.36,-0.19,-1,0.62,-9.85,-0.86,-0.61,-0.06,0.06,0.31,stairascent
261.6,-4.98,0.77,8.36,-0.25,-0.5,0.5,-9.95,-0.79,-0.63,-0.94,-0.56,0.94,stairascent
261.61,-5.06,0.66,8.36,0.13,0.13,0.31,-9.83,-0.87,-0.82,-1.06,-1,1.06,stairascent
261.63,-5.08,0.68,8.39,0.31,-0.13,0.62,-9.82,-0.82,-0.8,0.06,-1.94,1.12,stairascent
261.64,-5.04,0.75,8.36,0.37,-0.44,0.56,-9.92,-0.68,-0.64,0.75,-2.25,0.94,stairascent
261.66,-5.06,0.74,8.37,1.06,-0.75,0,-9.82,-0.78,-0.62,2.06,-2.37,1.19,stairascent
261.68,-5.04,0.69,8.38,0.94,-1,0.13,-9.78,-0.81,-0.63,0.62,-2.06,1.5,stairascent
261.69,-5.04,0.67,8.37,0.44,-0.94,0.37,-9.77,-0.9,-0.64,-1.19,-1.44,1.87,stairascent
261.71,-5.03,0.66,8.37,0.69,-1.06,0.81,-9.79,-0.83,-0.62,-0.25,-1,1.81,stairascent
261.72,-5.12,0.71,8.38,0.5,-1.37,1.25,-9.77,-0.76,-0.77,-0.31,-1.12,1.62,stairascent
261.74,-5.08,0.68,8.38,0.37,-2.31,1.69,-9.76,-0.78,-0.68,-0.13,-0.94,1.62,stairascent
261.76,-5.14,0.77,8.33,0.56,-2.75,1.81,-9.73,-0.63,-0.6,1.31,-0.94,0.56,stairascent
261.77,-4.96,0.67,8.4,-0.31,-3.69,2.06,-9.74,-0.74,-0.37,-0.75,0.88,0.5,stairascent
261.79,-4.91,0.77,8.27,-0.31,-3.69,2.06,-9.88,-0.7,-0.26,-1.12,1.56,0.44,stairascent
261.8,-4.9,0.75,8.44,-0.06,-1.37,0.75,-9.96,-0.69,-0.41,-2,1.31,1.81,stairascent
261.82,-4.97,0.68,8.4,0.13,-0.31,0.56,-9.91,-0.81,-0.81,-2.5,1.12,2.25,stairascent
261.84,-5.08,0.74,8.38,0.56,-0.69,0.37,-9.85,-0.78,-0.84,-0.06,-0.06,2,stairascent
261.85,-5.03,0.79,8.36,0.94,-1.19,0.37,-9.84,-0.67,-0.69,1.31,-0.81,1.94,stairascent
261.86,-5.01,0.76,8.42,0.81,-1.37,0.75,-9.86,-0.78,-0.6,0.06,-1.19,2.37,stairascent
261.88,-4.98,0.68,8.43,0.37,-1.56,0.75,-9.85,-0.87,-0.63,-1.44,-1.25,2.5,stairascent
261.9,-4.95,0.67,8.41,0.31,-1.5,0.94,-9.84,-0.74,-0.67,-1.12,-1.31,2.75,stairascent
261.91,-5,0.76,8.37,0.69,-1.81,1.25,-9.81,-0.69,-0.67,-1.06,-1.06,2.94,stairascent
261.93,-4.95,0.79,8.45,0.13,-1.75,1.44,-9.86,-0.7,-0.57,-1.19,-0.88,3.06,stairascent
261.95,-5.01,0.72,8.35,0.25,-1.94,1.31,-9.81,-0.75,-0.7,-1.44,-1.25,3.56,stairascent
261.96,-4.99,0.74,8.44,0.19,-2.37,1.44,-9.95,-0.74,-0.7,-1.56,-1.31,3.81,stairascent
261.98,-5.07,0.68,8.39,1,-3.12,1.87,-9.79,-0.83,-0.78,-1.06,-2.62,4.44,stairascent
261.99,-4.9,0.72,8.42,1.5,-4.19,2.31,-9.77,-0.87,-0.65,0.13,-2.69,4.44,stairascent
262,-4.86,0.73,8.41,1.62,-4.37,2.5,-9.81,-0.64,-0.47,0.25,-1.94,4.87,stairascent
262.02,-4.9,0.74,8.43,1.44,-4.19,2.62,-9.73,-0.67,-0.51,-0.88,-1.75,5.44,stairascent
262.04,-4.92,0.78,8.48,1.56,-3.69,2.31,-9.79,-0.59,-0.48,-1.06,-0.88,5.87,stairascent
262.05,-4.94,0.78,8.4,2.25,-3.31,2.37,-9.73,-0.53,-0.48,-0.88,-0.69,6,stairascent
262.07,-4.81,0.83,8.4,2.12,-3.69,2.31,-9.78,-0.53,-0.38,-1.75,0.81,6.37,stairascent
262.08,-4.86,0.78,8.48,1.81,-3.37,1.87,-9.74,-0.75,-0.6,-2.75,0.75,7.06,stairascent
262.1,-4.89,0.63,8.46,2.37,-3.44,1.94,-9.84,-0.76,-0.61,-2,0.88,7.37,stairascent
262.11,-4.81,0.74,8.43,3.19,-4.25,2.5,-9.76,-0.73,-0.59,-0.37,1.44,7.69,stairascent
262.13,-4.77,0.82,8.44,3.31,-4.12,2.62,-9.97,-0.35,-0.52,4.62,-1.44,6.75,stairascent
262.15,-4.87,0.89,8.45,2.81,-2.81,2.37,-9.79,-0.52,-0.67,0,1.94,8.63,stairascent
262.16,-4.84,0.79,8.42,2.75,-2.12,1.94,-9.76,-0.63,-0.7,-0.88,2.19,9.13,stairascent
