Timestamp(s),foot_Accel_X,foot_Accel_Y,foot_Accel_Z,foot_Gyro_X,foot_Gyro_Y,foot_Gyro_Z,shank_Accel_X,shank_Accel_Y,shank_Accel_Z,shank_Gyro_X,shank_Gyro_Y,shank_Gyro_Z,Label
14.74,-5.38,1.14,8.07,-2.12,-0.94,-0.44,-9.22,0.22,2.63,-4.37,4,-8.69,stairdescent
14.76,-5.42,1.07,8.06,-2.44,-1.19,-0.37,-9.16,0.23,2.49,-5.25,5.44,-9.06,stairdescent
14.77,-5.4,1.1,8.05,-3.12,-2.5,0.13,-9.31,-0.11,2.55,-8.81,8.06,-9.38,stairdescent
14.79,-5.28,1.11,8.27,-3.37,-2.62,0.37,-9.5,-0.26,2.68,-8.94,8.94,-9.38,stairdescent
14.8,-5.31,1.03,8.22,-3.06,-2.25,0.44,-9.36,-0.24,2.5,-4.12,10,-9.31,stairdescent
14.82,-5.35,1.03,8.19,-1.75,-1.44,-0.06,-9.44,-0.01,2.24,-1.12,11.13,-9.88,stairdescent
14.83,-5.31,1.08,8.13,-1.5,-1.62,0.31,-9.45,-0.06,2.38,-3.69,11.5,-9.63,stairdescent
14.85,-5.29,1.21,8.14,-1.69,-2,0.19,-9.5,-0.09,2.42,-3.25,11.75,-10.44,stairdescent
14.86,-5.31,1.09,8.18,-1.87,-1.62,-0.25,-9.56,-0.27,2.06,-2.12,11.56,-10.25,stairdescent
14.88,-5.41,0.97,8.11,-1.75,-1.69,-0.37,-9.51,-0.37,1.97,-0.75,11.31,-10.75,stairdescent
14.89,-5.32,1,8.22,-1.75,-2.5,0.25,-9.57,-0.42,2.08,1.44,11.56,-12.13,stairdescent
14.91,-5.4,0.95,8.14,-1.75,-2.25,0.62,-9.72,-0.04,2.27,2.75,11.19,-12.69,stairdescent
14.93,-5.27,1.22,8.17,-1.5,-2.62,1.06,-9.74,0.14,2.18,1.87,10.75,-13.06,stairdescent
14.94,-5.32,1.12,8.17,-2.25,-1.81,0.44,-9.65,-0.43,1.95,-6.12,7.62,-11.69,stairdescent
14.96,-5.34,1,8.22,-2.56,-2,0.25,-9.56,-0.56,1.91,-6.69,7.5,-12.56,stairdescent
