Timestamp(s),foot_Accel_X,foot_Accel_Y,foot_Accel_Z,foot_Gyro_X,foot_Gyro_Y,foot_Gyro_Z,shank_Accel_X,shank_Accel_Y,shank_Accel_Z,shank_Gyro_X,shank_Gyro_Y,shank_Gyro_Z,Label
22.33,-5.17,1.13,8.21,0.44,-0.25,0.19,-9.55,1.26,1.64,1.75,-6.37,-0.13,stairdescent
22.34,-5.15,1.21,8.23,0.56,-0.37,0.25,-9.5,1.55,1.71,2.87,-4.44,-1.44,stairdescent
22.36,-5.18,1.27,8.2,0.37,-0.13,0.19,-9.53,1.5,1.62,2.87,-4.44,-1.44,stairdescent
22.37,-5.14,1.22,8.26,-0.69,-0.06,-0.25,-9.49,1.29,1.84,2.44,-2.06,-3.25,stairdescent
22.39,-5.15,1.24,8.27,-0.19,0,-0.19,-9.52,1.45,1.9,4.37,-0.75,-4.06,stairdescent
22.4,-5.14,1.21,8.19,0.06,0.44,-0.25,-9.61,1.35,1.66,2.56,1.69,-5.31,stairdescent
22.42,-5.18,1.18,8.23,1,0.69,-0.44,-9.5,1.31,1.74,2.31,3.81,-6.75,stairdescent
22.43,-5.13,1.22,8.24,0.06,0.37,-0.37,-9.56,1.31,1.64,1.87,4.62,-7.5,stairdescent
22.45,-5.2,1.2,8.2,-0.19,0.62,-0.69,-9.54,1.41,1.55,1.44,5.44,-7.94,stairdescent
22.46,-5.18,1.19,8.23,0,0.5,-0.5,-9.69,1.26,1.45,2.12,6.06,-9.63,stairdescent
22.48,-5.1,1.24,8.22,0.19,0.31,-0.5,-9.67,1.18,1.6,3.19,6.81,-10.5,stairdescent
22.49,-5.16,1.22,8.23,-0.44,0.19,-0.75,-9.52,1.29,1.4,2.56,7.37,-11.44,stairdescent
22.51,-5.21,1.14,8.16,-0.62,0.37,-0.69,-9.64,1.07,1.52,0.13,7.94,-11.88,stairdescent
22.52,-5.14,1.24,8.27,-1.25,0.19,-0.62,-9.69,1.15,1.56,0.06,8.44,-12.19,stairdescent
22.54,-5.24,1.16,8.19,-1.25,0.37,-0.62,-9.53,0.69,1.2,-0.44,7.75,-12.56,stairdescent
22.56,-5.23,1.04,8.25,-1.19,-0.13,-0.25,-9.54,0.7,1.2,0.44,7.94,-13,stairdescent
22.57,-5.15,1.05,8.2,-1.5,-0.25,0.44,-10.18,1.07,1.36,0.56,7.62,-12.75,stairdescent
22.59,-4.99,1.32,8.25,-2,-0.19,0.19,-9.55,1.42,1.6,2.75,6.81,-13.19,stairdescent
22.6,-5.18,1.43,8.27,-1.62,-0.06,-0.62,-9.7,1.58,1.35,-3.31,6.56,-13.63,stairdescent
22.62,-5.19,1.21,8.13,-1.12,0.31,-1.44,-9.59,0.46,1.12,-9.75,10.06,-14.19,stairdescent
22.64,-5.21,0.95,8.16,-5.12,0.44,-1.37,-9.55,0.19,1.23,-7.19,9.19,-14.13,stairdescent
22.65,-5.22,0.9,8.18,-4.25,0.13,-0.94,-9.63,0.25,1.16,-4,7.94,-13.88,stairdescent
22.66,-5.33,1.09,8.24,-0.62,-0.62,-0.25,-9.87,0.77,0.71,-0.94,7.56,-14.44,stairdescent
22.68,-5.38,1.02,8.2,-0.62,-1.75,0.37,-9.72,0.58,0.87,-2.31,9.25,-14.63,stairdescent
22.69,-5.42,0.88,8.29,-1.81,-4.87,1.81,-9.63,0.44,0.98,-2.56,8.19,-15.44,stairdescent
22.71,-4.9,1.28,8.22,-1.5,-5.69,2.31,-9.9,0.63,1.3,3.44,6.37,-14.63,stairdescent
22.73,-5.15,0.99,8.27,-1.19,-2.75,1.12,-9.79,0.52,1.11,1.25,5.87,-13.56,stairdescent
