Timestamp(s),foot_Accel_X,foot_Accel_Y,foot_Accel_Z,foot_Gyro_X,foot_Gyro_Y,foot_Gyro_Z,shank_Accel_X,shank_Accel_Y,shank_Accel_Z,shank_Gyro_X,shank_Gyro_Y,shank_Gyro_Z,Label
77.21,-4.33,2.01,8.42,-3.5,3.37,-2.44,-9.36,1.09,2.18,-1.06,-3.25,-0.5,walk
77.22,-4.47,1.84,8.6,-3.75,3.37,-2.69,-9.38,0.6,2.15,-3.81,-1.25,-1.37,walk
77.24,-4.48,1.66,8.63,-3.56,2.62,-2.5,-9.44,0.54,2.21,-2,-0.06,-2,walk
77.25,-4.34,1.87,8.49,-2,2.56,-2.19,-9.41,0.78,2.04,1.06,1.06,-2.75,walk
77.26,-4.45,1.8,8.51,-2.37,2.75,-2.31,-9.39,0.8,2,-0.5,1.37,-2.81,walk
77.28,-4.36,1.91,8.47,-1.62,1.31,-1.5,-9.57,0.56,2,-4.12,3.06,-2.94,walk
77.3,-4.38,1.84,8.52,-1.69,1.12,-1.25,-9.58,0.48,1.96,-4.37,2.75,-3.06,walk
77.31,-4.39,1.85,8.51,-1.5,1.12,-1.31,-9.57,0.58,1.97,-0.62,3.06,-4,walk
77.33,-4.39,1.87,8.48,-1.44,1.12,-1.25,-9.54,0.65,1.96,0.19,2.94,-4.31,walk
77.34,-4.4,1.89,8.47,-1.81,1.25,-1.62,-9.56,0.67,1.92,-0.06,2.94,-4.81,walk
77.36,-4.33,1.8,8.47,-2.19,0.62,-1.37,-9.5,0.42,1.89,-1.12,3.06,-4.87,walk
77.37,-4.33,1.78,8.48,-2.37,0.69,-1.56,-9.58,0.36,1.9,-0.44,2.5,-4.62,walk
77.39,-4.35,1.84,8.43,-2.44,1.87,-1.87,-9.58,0.4,1.77,2,1.56,-4.25,walk
77.41,-4.36,1.84,8.46,-2.56,2.31,-2.12,-9.64,0.51,1.89,2.87,1.25,-4.44,walk
77.42,-4.31,1.91,8.4,-3,3.37,-2.81,-9.58,0.55,1.92,3.25,0.44,-4.12,walk
77.43,-4.47,1.72,8.49,-3.5,4.19,-3.31,-9.36,0.62,1.84,3.06,0.06,-4.19,walk
77.45,-4.38,1.86,8.41,-3.87,3.81,-3.31,-9.54,0.57,2.03,0.31,-0.13,-3.94,walk
77.46,-4.44,1.75,8.51,-4.44,3.94,-3.44,-9.58,0.54,1.86,-1,0.13,-4.19,walk
77.48,-4.45,1.76,8.43,-4.19,3.62,-2.87,-9.52,0.32,1.92,-2.69,0.56,-4.5,walk
77.5,-4.32,1.81,8.39,-4.19,3.25,-2.81,-9.44,0.25,2.01,-1.19,0.62,-4.44,walk
77.51,-4.32,1.71,8.42,-4.87,5.25,-3.62,-9.5,0.47,2.15,2.31,0.06,-4,walk
77.53,-4.46,1.7,8.49,-4.94,6.56,-4.69,-9.47,0.52,2.09,3.37,0.37,-4.06,walk
77.54,-4.42,1.7,8.48,-4.94,7.37,-5.12,-9.53,0.65,2.24,5.81,1.81,-5.19,walk
77.56,-4.52,1.71,8.42,-5.62,9,-6.25,-9.42,0.75,2.16,6.25,2.31,-5.81,walk
77.57,-4.39,1.65,8.38,-6.5,9.13,-6.37,-9.41,0.69,2.09,3.75,3.94,-5.94,walk
77.59,-4.38,1.64,8.4,-6.75,9.63,-6.56,-9.46,0.28,2.01,5.37,4.56,-6.25,walk
77.61,-4.77,1.48,8.56,-6.5,11.63,-7.44,-9.65,0.52,1.79,8.38,4.87,-6.62,walk
77.62,-5,1.44,8.63,-5.31,10.69,-6.44,-9.6,0.62,1.88,8.19,5.44,-7.25,walk
77.64,-5.02,1.52,8.62,-5.19,9.5,-5.5,-9.47,0.6,1.92,5.12,6.69,-8.44,walk
77.65,-4.57,1.66,8.36,-4.62,5.62,-4.87,-9.6,0.45,2.16,4.37,9.06,-8.88,walk
77.67,-4.74,1.5,8.44,-4.5,6.06,-5.37,-9.49,0.48,2.06,5.75,9.81,-9.69,walk
77.68,-4.78,1.56,8.43,-3.75,5.5,-5.31,-9.43,0.55,1.96,7.06,11.19,-10.63,walk
77.7,-4.72,1.48,8.4,-4.44,5.44,-5.44,-9.47,0.47,1.91,5.56,12.19,-10.81,walk
77.71,-4.87,1.57,8.39,-4.19,5.44,-5.44,-9.58,0.41,1.71,2.44,13.13,-11.44,walk
77.73,-4.82,1.38,8.46,-4.56,4.37,-4.94,-9.61,0.24,1.73,-0.44,13.75,-11.75,walk
77.75,-4.79,1.44,8.31,-4.31,4.12,-4.87,-9.47,0.32,1.84,5.12,14.5,-12.38,walk
77.76,-4.89,1.3,8.42,-4.5,4.37,-4.69,-9.55,0.54,1.75,6.62,15.56,-12.75,walk
77.78,-4.91,1.39,8.48,-4.12,4.12,-4.19,-9.6,0.58,1.84,3.12,16.94,-13.19,walk
77.79,-4.83,1.48,8.35,-3.75,3.25,-3.5,-9.6,0.41,1.71,-0.94,18.5,-14.44,walk
77.81,-4.89,1.39,8.36,-4.06,3.31,-3.62,-9.49,0.16,1.56,-1.56,19.37,-14.38,walk
77.82,-4.91,1.2,8.46,-3.62,2.69,-2.87,-9.58,0.2,1.42,2.31,21.44,-15.75,walk
77.84,-4.9,1.22,8.47,-2.25,2.25,-2.06,-9.69,0.2,1.34,1.56,21.87,-15.38,walk
77.86,-4.83,1.31,8.42,-2.19,1.94,-1.62,-9.65,-0.01,1.2,-1.81,22.94,-16.19,walk
