Timestamp(s),foot_Accel_X,foot_Accel_Y,foot_Accel_Z,foot_Gyro_X,foot_Gyro_Y,foot_Gyro_Z,shank_Accel_X,shank_Accel_Y,shank_Accel_Z,shank_Gyro_X,shank_Gyro_Y,shank_Gyro_Z,Label
9.35,-5.28,1.08,8.16,-0.31,-0.06,-0.19,-9.62,0.31,1.56,-0.75,1.87,-2.12,walk
9.36,-5.26,1.03,8.21,-0.31,-0.13,-0.13,-9.64,0.51,1.55,1.19,2.62,-3.19,walk
9.37,-5.29,1.03,8.19,-0.19,0,0,-9.59,0.47,1.49,-3.56,4.31,-3.81,walk
9.39,-5.27,1.11,8.18,-0.37,-0.31,0.13,-9.63,0.33,1.48,-5.12,5.44,-4.5,walk
9.4,-5.27,1.05,8.22,-0.5,-0.37,0.06,-9.62,0.31,1.55,-5.06,6.81,-5.37,walk
9.42,-5.28,1.04,8.21,-0.25,-1,0.31,-9.62,0.45,1.54,-5.12,8.75,-7.06,walk
9.44,-5.3,1.04,8.23,-0.56,-1.69,0.69,-9.57,0.32,1.3,-8.94,10,-7.56,walk
9.45,-5.23,1.07,8.18,-0.75,-2.31,1,-9.53,0.02,1.28,-14.63,12.06,-8.31,walk
9.47,-5.06,1.14,8.15,-0.56,-2.44,0.94,-9.89,-0.1,1.37,-4.25,13.56,-9.19,walk
9.48,-5.13,1.17,8.19,-0.37,-1.81,0.62,-9.93,0.1,1.33,-4.25,13.56,-9.19,walk
9.5,-5.22,1.17,8.18,-0.37,-0.37,0.44,-9.86,0.34,0.95,-5.62,12.5,-9.19,walk
9.51,-5.23,1.13,8.19,-0.62,-0.75,0.37,-9.85,0.17,1,-7.94,12.13,-9.56,walk
9.53,-5.18,1.07,8.18,-1.44,-0.88,0.25,-9.72,-0.06,1.09,-8.75,12.19,-10,walk
9.54,-5.22,1.02,8.24,-2.06,-1,0.31,-9.7,-0.11,1.03,-9.19,12.13,-9.94,walk
9.56,-5.31,0.89,8.26,-1.44,-0.94,0.62,-9.88,-0.36,0.71,-8.69,12.38,-10.06,walk
9.57,-5.29,0.85,8.29,-0.81,-1.37,1.12,-9.81,-0.42,0.56,-6.62,11.38,-11,walk
9.59,-5.2,0.92,8.3,-0.37,-3.19,1.94,-9.9,-0.57,0.75,-2,11,-11.75,walk
9.61,-5.12,1,8.24,0.56,-3.56,2.56,-9.91,0.32,1.23,5.06,10.19,-12.5,walk
9.62,-5.12,1.31,8.19,1.62,-1.94,2,-9.85,0.36,1.04,0.25,9.69,-11.75,walk
9.64,-5.17,1.24,8.14,1,-1.37,1.25,-9.61,-0.02,0.9,-1.44,10.31,-12.44,walk
9.65,-5.18,1.14,8.2,-0.37,-1.69,0.88,-9.8,-0.2,0.93,-2.19,10.44,-12.56,walk
9.67,-5.18,1.01,8.2,-0.81,-1.75,1.06,-9.72,-0.36,0.87,-2.06,11.06,-13.5,walk
9.68,-5.17,1.03,8.27,-0.5,-2.31,1.19,-9.77,-0.15,0.97,-1.44,11.94,-14.13,walk
9.7,-5.14,1.04,8.28,-0.31,-2.69,1.19,-9.81,-0.05,1,-2.5,13.75,-14.88,walk
9.71,-5.06,1.18,8.22,-0.75,-2.81,1,-9.71,-0.16,1.07,-2.19,15.13,-15.06,walk
9.73,-5.08,1.02,8.24,-1.19,-2.69,0.56,-9.62,-0.54,1.01,1.12,17.75,-15.88,walk
9.74,-5.06,0.97,8.26,-1.12,-2.19,0.06,-9.62,-0.51,0.94,3,18.81,-16,walk
9.76,-5.06,1.22,8.2,-0.37,-1.69,0.13,-9.7,0.03,0.92,5.12,20.87,-17.06,walk
9.77,-5.07,1.36,8.2,-0.81,-1.25,-0.19,-9.8,0.13,0.79,1,21.44,-16.62,walk
9.79,-5.11,1.11,8.19,-2.75,-0.62,-1.06,-9.69,-0.53,0.38,-12.19,21.06,-15.56,walk
9.8,-5.14,1.09,8.2,-3.19,-0.62,-1.12,-9.74,-0.63,0.46,-7.06,21.62,-16.87,walk
9.82,-5.05,1.02,8.31,-4.06,-0.62,-1.37,-9.72,-0.87,0.47,-5.87,21.75,-16.94,walk
9.84,-5.1,0.93,8.34,-3.44,-0.37,-1.25,-9.9,-1.04,0.42,-6.25,23.31,-16,walk
9.85,-5.15,1,8.2,-3,-0.13,-0.81,-9.85,-0.98,0.35,-3.19,22.81,-16.19,walk
9.87,-5.07,1.16,8.16,-3,-0.31,-1.06,-9.84,-0.17,0.54,-4.37,22.44,-15.31,walk
9.88,-4.99,1.36,8.2,-4.06,0.69,-2.06,-9.9,-0.25,0.31,-14.31,22.25,-13.06,walk
9.9,-5.11,1,8.16,-5.69,1.19,-2.87,-9.82,-0.77,-0.07,-24.06,20.81,-11.38,walk
9.91,-5.12,1.03,8.26,-7.31,1.37,-3,-9.81,-0.97,-0.2,-25.06,20.06,-10.56,walk
9.93,-5.11,0.79,8.32,-7.25,1.44,-3.19,-9.96,-1.61,-0.48,-23.25,19.06,-9.81,walk
9.94,-5.15,0.75,8.43,-5.5,1.56,-2.94,-10.03,-1.62,-0.57,-16.75,18.06,-9.69,walk
9.96,-5.16,0.79,8.4,-3.56,1.44,-2.06,-10.18,-1.48,-0.57,-5.06,15.44,-9.13,walk
9.98,-5.23,0.79,8.3,-3,1.44,-1.56,-10.03,-1.17,-0.5,-0.44,13.38,-9.25,walk
9.99,-5.12,1.1,8.24,-1.94,0.81,-0.88,-9.92,-0.56,-0.42,-0.44,10.69,-8.75,walk
10.01,-5.12,1.07,8.18,-2.94,0.62,-1.19,-9.98,-0.68,-0.3,-12.81,8.19,-6.87,walk
10.02,-5.12,1.02,8.23,-4.44,0.25,-1.62,-9.9,-0.85,-0.3,-16.87,7.25,-6.31,walk
10.03,-5.17,0.89,8.3,-4.37,0.25,-1.75,-9.86,-1.11,-0.33,-24.37,5.94,-4.12,walk
10.05,-5.11,0.65,8.34,-3.62,-0.06,-1.44,-9.92,-1.85,-0.34,-21.5,6.19,-3.81,walk
10.07,-5.15,0.61,8.33,-2,0.19,-0.81,-9.96,-1.55,-0.54,-13.06,5.69,-2.87,walk
10.08,-5.17,0.78,8.32,-2.31,0.31,-0.5,-9.89,-1.41,-0.59,-9.25,4,-2.25,walk
10.1,-5.16,0.86,8.31,-0.75,0.19,0.19,-9.92,-1.23,-0.49,-5.81,1.94,-1.44,walk
10.11,-5.15,0.81,8.27,-0.5,-0.19,0.19,-9.81,-1.38,-0.33,-5.81,1.25,-0.94,walk
10.13,-5.04,0.86,8.34,-1.44,-0.56,0.25,-9.96,-1.31,-0.2,-2.19,0.94,-0.25,walk
10.15,-5.12,0.81,8.35,-0.62,-0.13,0.19,-9.94,-1.22,-0.48,-3.69,-0.31,1.25,walk
10.16,-5.14,0.84,8.29,0.56,0.37,0.25,-9.93,-1.38,-0.52,-4.44,-0.81,1.69,walk
10.18,-5.14,0.79,8.26,0.5,-0.25,0.62,-9.85,-1.47,-0.5,-4.69,-1.44,2.25,walk
10.19,-5.11,0.74,8.35,0.69,-0.13,0.75,-10.04,-1.58,-0.53,-2.12,-3.19,3.31,walk
10.21,-5.11,0.78,8.4,1.62,-0.31,1.12,-10.07,-1.44,-0.46,6.87,-5.25,2.87,walk
10.22,-5.15,0.91,8.3,2.37,0.13,1.25,-9.96,-0.87,-0.31,8.69,-5.75,2.87,walk
10.24,-5.11,0.99,8.25,2.56,-0.19,1.25,-9.88,-0.86,-0.2,9.25,-6.37,2.25,walk
10.26,-5.09,0.9,8.25,1.69,-0.56,0.88,-9.74,-1.16,0.06,8.75,-6.25,2,walk
10.27,-5.07,0.84,8.37,1.94,-0.44,0.88,-9.89,-1.03,0.05,10.19,-4.75,1.25,walk
10.29,-5.1,0.86,8.31,2.25,-0.19,1,-9.87,-0.83,0.02,11.25,-4.25,0.94,walk
10.3,-5.09,1.08,8.23,2.44,0.25,1.06,-9.77,-0.5,0.13,13.13,-2.56,-0.19,walk
